"id"	"邯郸穗粒重"	"品种名称"	"邯郸穗粒数"	"哈市穗粒数"	"杭州成熟型"	"耐盐芽期"	"黄花叶病"	"原产地"	"统一编号"	"北京成熟型"	"邯郸千粒重"	"条纹病"	"杭州千粒重"	"哈市成熟型"	"哈市穗粒重"	"北京穗粒数"	"哈市株粒重"	"白粉病"	"北京株高"	"北京株粒重"	"邯郸株高"	"优异性状"	"哈市千粒重"	"西宁成熟型"	"NO"	"哈市株高"	"西宁穗粒数"	"棱型"	"皮裸"	"杭州株高"	"杭州穗粒数"	"邯郸成熟型"	"耐盐苗期"	"西宁株高"	"北京千粒重"	"赤霉病"	"北京穗粒重"	"杭州穗粒重"	"西宁株粒重"	"西宁千粒重"	"邯郸株粒重"	"西宁穗粒重"	"杭州株粒重"
"177"	"1.1"	"ZF1641"	"20"	"26"	"极晚"	"5"	"HS"	"法国"	"WDM05983"	"晚"	"53"	"R"	"51"	"晚"	"1.3"	"26"	"4.6"	"HS"	"94"	"4"	"83"	"大粒,中抗赤霉病,抗条纹病"	"47.8"	"中"	"179"	"75"	"23"	"2"	"皮"	"91"	"16"	"晚"	"4"	"92"	"48.8"	"MR"	"1"	".8"	"2"	"44.7"	"8.2"	".9"	"3.8"
"178"	"1.1"	"济啤02"	"23"	"18"	"晚"	"5"	"HS"	"山东济南"	"待编目"	"中"	"45.3"	"R"	"52.2"	"早"	"1.1"	"25"	"4.9"	"HS"	"75"	"4.3"	"66"	"大粒,抗赤霉病、条纹病"	"56.1"	"特早"	"180"	"59"	"19"	"2"	"皮"	"80"	"25"	"中"	"4"	"84"	"44.7"	"R"	"1"	"1.3"	"4.2"	"55.4"	"8.1"	"1"	"6.1"
"179"	"1.4"	"91选"	"26"	"18"	"中"	"5"	"HS"	"河北邯郸"	"待编目"	"早"	"57"	"R"	"50"	"早"	"1.1"	"25"	"5.8"	"HS"	"74"	"3.1"	"64"	"大粒,中抗赤霉病,抗条纹病"	"56.3"	"特早"	"181"	"61"	"24"	"2"	"皮"	"80"	"17"	"中"	"4"	"83"	"45.5"	"MR"	".8"	".8"	"4.6"	"55.2"	"7.7"	"1.3"	"3.6"
"180"	"1.3"	"96-85"	"23"	"17"	"晚"	"5"	"HS"	"河北邯郸"	"待编目"	"早"	"55.2"	"R"	"53.4"	"中"	"1"	"23"	"4.6"	"HS"	"78"	"4.6"	"75"	"大粒,抗赤霉病、条纹病"	"56.8"	"特早"	"182"	"63"	"21"	"2"	"皮"	"65"	"16"	"中"	"4"	"87"	"47.1"	"R"	".9"	".9"	"8"	"61.5"	"8.7"	"1.2"	"4.2"
"181"	"1.2"	"莆829019"	"22"	"19"	"特早"	"5"	"HS"	"福建莆田"	"待编目"	"特早"	"53"	"R"	"44.6"	"中"	"1"	"20"	"4.8"	"MR"	"84"	"3.4"	"73"	"大粒,抗白粉病、赤霉病、条纹病"	"52.8"	"特早"	"183"	"69"	"20"	"2"	"皮"	"73"	"20"	"中"	"5"	"91"	"50.6"	"MR"	".9"	".9"	"6"	"55.3"	"7.2"	".9"	"3.2"
"182"	"1.2"	"莆895067"	"21"	"23"	"特早"	"5"	"HS"	"福建莆田"	"待编目"	"早"	"52.4"	"R"	"44.1"	"晚"	"1.2"	"21"	"4.5"	"MR"	"78"	"3.2"	"69"	"大粒,抗白粉病、赤霉病、条纹病"	"51.5"	"早"	"184"	"70"	"20"	"2"	"皮"	"73"	"20"	"中"	"5"	"81"	"46.1"	"R"	".8"	".9"	"5.5"	"53.7"	"7.5"	"1"	"3.3"
"183"	"1.1"	"红日啤麦2号"	"22"	"26"	"特早"	"4"	"HS"	"黑龙江红兴隆"	"待编目"	"中"	"48.4"	"R"	"40"	"晚"	"1.4"	"30"	"8.9"	"HS"	"87"	"5.4"	"73"	"浸出率高,抗赤霉病、条纹病"	"49.6"	"特早"	"185"	"85"	"27"	"2"	"皮"	"75"	"18"	"晚"	"5"	"98"	"40.2"	"R"	".8"	".7"	"7.9"	"46.2"	"8.8"	"1.3"	"3.3"
"184"	"1.1"	"SD424"	"28"	"33"	"极晚"	"3"	"HS"	"加拿大"	"待编目"	"极晚"	"41.2"	"R"	"40.8"	"晚"	"1.5"	"31"	"6.4"	"HS"	"78"	"2.8"	"75"	"矮秆,抗赤霉病、条纹病"	"38.8"	"中"	"186"	"82"	"31"	"2"	"皮"	"62"	"17"	"极晚"	"5"	"79"	"25.6"	"MR"	".6"	".7"	"6.7"	"46.2"	"6.5"	"1.4"	"3.3"
"185"	"1.1"	"SD426"	"29"	"31"	"晚"	"5"	"HS"	"加拿大"	"待编目"	"极晚"	"40.5"	"MS"	"37.8"	"晚"	"1.3"	"28"	"10.5"	"HS"	"79"	"3.5"	"73"	"矮秆,中抗赤霉病"	"41.8"	"中"	"187"	"66"	"31"	"2"	"皮"	"58"	"19"	"极晚"	"5"	"81"	"28"	"MR"	".6"	".7"	"6.6"	"46.6"	"9"	"1.3"	"4.3"
"186"	"1.1"	"SD425"	"26"	"32"	"极晚"	"3"	"HS"	"加拿大"	"待编目"	"极晚"	"42"	"R"	"40"	"晚"	"1.4"	"31"	"2.8"	"HS"	"79"	"3"	"71"	"矮秆,抗赤霉病、条纹病"	"40.5"	"中"	"188"	"73"	"33"	"2"	"皮"	"60"	"19"	"晚"	"5"	"83"	"24.5"	"R"	".6"	".7"	"6.2"	"48.1"	"8"	"1.4"	"3.6"
"187"	"1.1"	"Harrington"	"24"	"25"	"中"	"5"	"HS"	"加拿大"	"WDM04951"	"晚"	"42.9"	"R"	"38.5"	"晚"	"1.4"	"31"	"11"	"HS"	"93"	"6.1"	"78"	"浸出率高,中抗赤霉病,丰产"	"44.9"	"早"	"189"	"78"	"29"	"2"	"皮"	"68"	"20"	"晚"	"5"	"108"	"36.9"	"MR"	"1"	".8"	"7.3"	"50.6"	"7.9"	"1.3"	"4"
"188"	"1"	"单2"	"25"	"23"	"特早"	"5"	"R"	"中国科学院遗传所"	"待编目"	"中"	"43.6"	"R"	"39.1"	"早"	"1"	"26"	"4.7"	"HS"	"82"	"4.3"	"74"	"浸出率高,农艺性状好,抗黄花病、赤霉病、条纹病"	"43.2"	"中"	"190"	"65"	"23"	"2"	"皮"	"78"	"20"	"中"	"5"	"93"	"35.6"	"R"	".8"	".8"	"6"	"40.7"	"6.6"	".9"	"4"
"189"	"1"	"单6"	"23"	"22"	"特早"	"5"	"R"	"中国科学院遗传所"	"待编目"	"早"	"43.8"	"S"	"36.3"	"早"	"1.2"	"27"	"5.2"	"HS"	"91"	"4.3"	"78"	"浸出率高,农艺性状好,抗黄花病、赤霉病"	"48.4"	"特早"	"191"	"74"	"25"	"2"	"皮"	"78"	"18"	"中"	"4"	"107"	"36.8"	"R"	".9"	".7"	"7.6"	"47.5"	"6.6"	"1.1"	"3.9"
"190"	"1.4"	"品567"	"22"	"24.0"	"--"	"--"	"--"	"中国农科院品资所"	"待编目"	"中"	"61.2"	"--"	"--"	"晚"	"1.3"	"27"	"8.9"	"--"	"105.0"	"8.0"	"86"	"大粒"	"64"	"早"	"192.0"	"99"	"29"	"2.0"	"皮"	"--"	"--"	"中"	"--"	"93.0"	"60.6"	"--"	"1.7"	"--"	"6.6"	"65.8"	"12"	"1.9"	"--"
"191"	"1.3"	"品565"	"21"	"26.0"	"--"	"--"	"--"	"中国农科院品资所"	"待编目"	"中"	"61.7"	"--"	"--"	"晚"	"1.7"	"27"	"7.1"	"--"	"103.0"	"9.2"	"89"	"大粒"	"54.2"	"特早"	"193.0"	"95"	"27"	"2.0"	"皮"	"--"	"--"	"晚"	"--"	"100.0"	"59.5"	"--"	"1.4"	"--"	"7.1"	"53.9"	"10.7"	"1.1"	"--"
"192"	".9"	"品714"	"17"	"24.0"	"--"	"--"	"--"	"中国农科院品资所"	"待编目"	"中"	"51.2"	"--"	"--"	"晚"	"1.6"	"28"	"6.4"	"--"	"112.0"	"10.2"	"83"	"大粒"	"56.7"	"特早"	"194.0"	"96"	"27"	"2.0"	"裸"	"--"	"--"	"晚"	"--"	"98.0"	"50"	"--"	"1.6"	"--"	"8.1"	"57.6"	"6.2"	"1.2"	"--"
