"标题"	"目录"	"年鉴页码"	"编号"	"年鉴年份"	"CAJ"	"PDF"	"EXCEL"	"id"
"3-3 农村居民家庭劳动力文化状况"	"3 农村基本情况与农业生产条件"	"29"	"N2014120439000017"	"2014"	"yearbooks/N2014120439000017.caj"	"yearbooks/N2014120439000017.pdf"	"yearbooks/N2014120439000017.xls"	"17"
"3-4 主要农业机械年末拥有量"	"3 农村基本情况与农业生产条件"	"30"	"N2014120439000018"	"2014"	"yearbooks/N2014120439000018.caj"	"yearbooks/N2014120439000018.pdf"	"yearbooks/N2014120439000018.xls"	"18"
"3-5 主要农业机械年末拥有量及增长情况"	"3 农村基本情况与农业生产条件"	"31"	"N2014120439000019"	"2014"	"yearbooks/N2014120439000019.caj"	"yearbooks/N2014120439000019.pdf"	"yearbooks/N2014120439000019.xls"	"19"
"3-6 各地区主要农业机械年末拥有量"	"3 农村基本情况与农业生产条件"	"32-36"	"N2014120439000020"	"2014"	"yearbooks/N2014120439000020.caj"	"yearbooks/N2014120439000020.pdf"	"yearbooks/N2014120439000020.xls"	"20"
"3-7 农村电力、灌溉面积、化肥施用量情况"	"3 农村基本情况与农业生产条件"	"37"	"N2014120439000021"	"2014"	"yearbooks/N2014120439000021.caj"	"yearbooks/N2014120439000021.pdf"	"yearbooks/N2014120439000021.xls"	"21"
"3-8 农村电力和农田水利建设情况"	"3 农村基本情况与农业生产条件"	"38"	"N2014120439000022"	"2014"	"yearbooks/N2014120439000022.caj"	"yearbooks/N2014120439000022.pdf"	"yearbooks/N2014120439000022.xls"	"22"
"3-9 农用化肥、农膜、柴油和农药使用量"	"3 农村基本情况与农业生产条件"	"38"	"N2014120439000023"	"2014"	"yearbooks/N2014120439000023.caj"	"yearbooks/N2014120439000023.pdf"	"yearbooks/N2014120439000023.xls"	"23"
"3-10 各地区农村电力和农田水利建设情况"	"3 农村基本情况与农业生产条件"	"39-40"	"N2014120439000024"	"2014"	"yearbooks/N2014120439000024.caj"	"yearbooks/N2014120439000024.pdf"	"yearbooks/N2014120439000024.xls"	"24"
"3-11 各地区农用化肥施用量"	"3 农村基本情况与农业生产条件"	"41-42"	"N2014120439000025"	"2014"	"yearbooks/N2014120439000025.caj"	"yearbooks/N2014120439000025.pdf"	"yearbooks/N2014120439000025.xls"	"25"
"3-12 各地区农用塑料薄膜使用量"	"3 农村基本情况与农业生产条件"	"43"	"N2014120439000026"	"2014"	"yearbooks/N2014120439000026.caj"	"yearbooks/N2014120439000026.pdf"	"yearbooks/N2014120439000026.xls"	"26"
"3-13 各地区农用柴油和农药使用量"	"3 农村基本情况与农业生产条件"	"44"	"N2014120439000027"	"2014"	"yearbooks/N2014120439000027.caj"	"yearbooks/N2014120439000027.pdf"	"yearbooks/N2014120439000027.xls"	"27"
"3-14 各地区耕地面积及占全国的比重(2008年)"	"3 农村基本情况与农业生产条件"	"45"	"N2014120439000028"	"2014"	"yearbooks/N2014120439000028.caj"	"yearbooks/N2014120439000028.pdf"	"yearbooks/N2014120439000028.xls"	"28"
"3-15 各地区耕地面积构成(2008年)"	"3 农村基本情况与农业生产条件"	"46"	"N2014120439000029"	"2014"	"yearbooks/N2014120439000029.caj"	"yearbooks/N2014120439000029.pdf"	"yearbooks/N2014120439000029.xls"	"29"
"4 农业生态与环境"	"4 农业生态与环境"	"47+49-64"	"N2014120439000030"	"2014"	"yearbooks/N2014120439000030.caj"	"yearbooks/N2014120439000030.pdf"		"30"
"4-1 全国自然保护区情况"	"4 农业生态与环境"	"49"	"N2014120439000031"	"2014"	"yearbooks/N2014120439000031.caj"	"yearbooks/N2014120439000031.pdf"	"yearbooks/N2014120439000031.xls"	"31"
"4-2 农村环境情况"	"4 农业生态与环境"	"49"	"N2014120439000032"	"2014"	"yearbooks/N2014120439000032.caj"	"yearbooks/N2014120439000032.pdf"	"yearbooks/N2014120439000032.xls"	"32"
"4-3 各地区自然保护基本情况"	"4 农业生态与环境"	"50"	"N2014120439000033"	"2014"	"yearbooks/N2014120439000033.caj"	"yearbooks/N2014120439000033.pdf"	"yearbooks/N2014120439000033.xls"	"33"
"4-4 各地区农村改水、改厕情况"	"4 农业生态与环境"	"51"	"N2014120439000034"	"2014"	"yearbooks/N2014120439000034.caj"	"yearbooks/N2014120439000034.pdf"	"yearbooks/N2014120439000034.xls"	"34"
"4-5 各地区农村可再生资源利用情况"	"4 农业生态与环境"	"52"	"N2014120439000035"	"2014"	"yearbooks/N2014120439000035.caj"	"yearbooks/N2014120439000035.pdf"	"yearbooks/N2014120439000035.xls"	"35"
"4-6 全国林业重点生态工程历年完成造林面积"	"4 农业生态与环境"	"53-54"	"N2014120439000036"	"2014"	"yearbooks/N2014120439000036.caj"	"yearbooks/N2014120439000036.pdf"	"yearbooks/N2014120439000036.xls"	"36"
"4-7 各地区林业重点生态工程建设情况"	"4 农业生态与环境"	"55-56"	"N2014120439000037"	"2014"	"yearbooks/N2014120439000037.caj"	"yearbooks/N2014120439000037.pdf"	"yearbooks/N2014120439000037.xls"	"37"
"4-8 灌区、水库、除涝、治水情况"	"4 农业生态与环境"	"57"	"N2014120439000038"	"2014"	"yearbooks/N2014120439000038.caj"	"yearbooks/N2014120439000038.pdf"	"yearbooks/N2014120439000038.xls"	"38"
"4-9 各地区水利设施和除涝、治水面积"	"4 农业生态与环境"	"58"	"N2014120439000039"	"2014"	"yearbooks/N2014120439000039.caj"	"yearbooks/N2014120439000039.pdf"	"yearbooks/N2014120439000039.xls"	"39"
"4-10 全国农作物受灾和成灾面积"	"4 农业生态与环境"	"59"	"N2014120439000040"	"2014"	"yearbooks/N2014120439000040.caj"	"yearbooks/N2014120439000040.pdf"	"yearbooks/N2014120439000040.xls"	"40"
"4-11 全国农作物受灾、成灾和绝收面积"	"4 农业生态与环境"	"60"	"N2014120439000041"	"2014"	"yearbooks/N2014120439000041.caj"	"yearbooks/N2014120439000041.pdf"	"yearbooks/N2014120439000041.xls"	"41"
"4-12 各地区农作物受灾面积"	"4 农业生态与环境"	"61-62"	"N2014120439000042"	"2014"	"yearbooks/N2014120439000042.caj"	"yearbooks/N2014120439000042.pdf"	"yearbooks/N2014120439000042.xls"	"42"
"4-13 各地区农作物成灾面积"	"4 农业生态与环境"	"63-64"	"N2014120439000043"	"2014"	"yearbooks/N2014120439000043.caj"	"yearbooks/N2014120439000043.pdf"	"yearbooks/N2014120439000043.xls"	"43"
"5 农村住户投资"	"5 农村住户投资"	"65+67-74"	"N2014120439000044"	"2014"	"yearbooks/N2014120439000044.caj"	"yearbooks/N2014120439000044.pdf"		"44"
"5-1 国家财政用于农业的支出"	"5 农村住户投资"	"67"	"N2014120439000045"	"2014"	"yearbooks/N2014120439000045.caj"	"yearbooks/N2014120439000045.pdf"	"yearbooks/N2014120439000045.xls"	"45"
"5-2 农业基本建设投资和新增固定资产"	"5 农村住户投资"	"68"	"N2014120439000046"	"2014"	"yearbooks/N2014120439000046.caj"	"yearbooks/N2014120439000046.pdf"	"yearbooks/N2014120439000046.xls"	"46"
"5-3 农村集体单位和农村居民个人固定资产投资额"	"5 农村住户投资"	"69"	"N2014120439000047"	"2014"	"yearbooks/N2014120439000047.caj"	"yearbooks/N2014120439000047.pdf"	"yearbooks/N2014120439000047.xls"	"47"
"5-4 农村居民家庭经营费用现金支出"	"5 农村住户投资"	"70"	"N2014120439000048"	"2014"	"yearbooks/N2014120439000048.caj"	"yearbooks/N2014120439000048.pdf"	"yearbooks/N2014120439000048.xls"	"48"
"5-5 农村居民家庭购买生产性固定资产现金支出"	"5 农村住户投资"	"70"	"N2014120439000049"	"2014"	"yearbooks/N2014120439000049.caj"	"yearbooks/N2014120439000049.pdf"	"yearbooks/N2014120439000049.xls"	"49"
"5-6 农村住户固定资产投资情况"	"5 农村住户投资"	"71"	"N2014120439000050"	"2014"	"yearbooks/N2014120439000050.caj"	"yearbooks/N2014120439000050.pdf"	"yearbooks/N2014120439000050.xls"	"50"
"5-7 各地区农村住户固定资产投资完成额"	"5 农村住户投资"	"72"	"N2014120439000051"	"2014"	"yearbooks/N2014120439000051.caj"	"yearbooks/N2014120439000051.pdf"	"yearbooks/N2014120439000051.xls"	"51"
"5-8 各地区农村住户固定资产投资结构情况"	"5 农村住户投资"	"73"	"N2014120439000052"	"2014"	"yearbooks/N2014120439000052.caj"	"yearbooks/N2014120439000052.pdf"	"yearbooks/N2014120439000052.xls"	"52"
"5-9 各地区农村住户固定资产投资投向情况"	"5 农村住户投资"	"74"	"N2014120439000053"	"2014"	"yearbooks/N2014120439000053.caj"	"yearbooks/N2014120439000053.pdf"	"yearbooks/N2014120439000053.xls"	"53"
"6 农林牧渔业总产值、中间消耗及增加值"	"6 农林牧渔业总产值、中间消耗及增加值"	"75+77-117"	"N2014120439000054"	"2014"	"yearbooks/N2014120439000054.caj"	"yearbooks/N2014120439000054.pdf"		"54"
"6-1 农林牧渔业增加值和指数"	"6 农林牧渔业总产值、中间消耗及增加值"	"77"	"N2014120439000055"	"2014"	"yearbooks/N2014120439000055.caj"	"yearbooks/N2014120439000055.pdf"	"yearbooks/N2014120439000055.xls"	"55"
"6-2 农林牧渔业总产值、增加值、中间消耗及构成"	"6 农林牧渔业总产值、中间消耗及增加值"	"78"	"N2014120439000056"	"2014"	"yearbooks/N2014120439000056.caj"	"yearbooks/N2014120439000056.pdf"	"yearbooks/N2014120439000056.xls"	"56"
"6-3 各地区农林牧渔业总产值、增加值和中间消耗"	"6 农林牧渔业总产值、中间消耗及增加值"	"79-81"	"N2014120439000057"	"2014"	"yearbooks/N2014120439000057.caj"	"yearbooks/N2014120439000057.pdf"	"yearbooks/N2014120439000057.xls"	"57"
"6-4 各地区分部门农林牧渔业增加值"	"6 农林牧渔业总产值、中间消耗及增加值"	"82"	"N2014120439000058"	"2014"	"yearbooks/N2014120439000058.caj"	"yearbooks/N2014120439000058.pdf"	"yearbooks/N2014120439000058.xls"	"58"
"6-5 各地区分部门农林牧渔业增加值构成"	"6 农林牧渔业总产值、中间消耗及增加值"	"83"	"N2014120439000059"	"2014"	"yearbooks/N2014120439000059.caj"	"yearbooks/N2014120439000059.pdf"	"yearbooks/N2014120439000059.xls"	"59"
"6-6 各地区分部门农林牧渔业增加值率"	"6 农林牧渔业总产值、中间消耗及增加值"	"84"	"N2014120439000060"	"2014"	"yearbooks/N2014120439000060.caj"	"yearbooks/N2014120439000060.pdf"	"yearbooks/N2014120439000060.xls"	"60"
"6-7 各地区分部门农林牧渔业中间消耗"	"6 农林牧渔业总产值、中间消耗及增加值"	"85"	"N2014120439000061"	"2014"	"yearbooks/N2014120439000061.caj"	"yearbooks/N2014120439000061.pdf"	"yearbooks/N2014120439000061.xls"	"61"
"6-8 各地区分部门农林牧渔业中间消耗构成"	"6 农林牧渔业总产值、中间消耗及增加值"	"86-87"	"N2014120439000062"	"2014"	"yearbooks/N2014120439000062.caj"	"yearbooks/N2014120439000062.pdf"	"yearbooks/N2014120439000062.xls"	"62"
"6-9 各地区分部门农林牧渔业中间消耗占产值的比重"	"6 农林牧渔业总产值、中间消耗及增加值"	"88-89"	"N2014120439000063"	"2014"	"yearbooks/N2014120439000063.caj"	"yearbooks/N2014120439000063.pdf"	"yearbooks/N2014120439000063.xls"	"63"
"6-10 分项农林牧渔业中间消耗"	"6 农林牧渔业总产值、中间消耗及增加值"	"90"	"N2014120439000064"	"2014"	"yearbooks/N2014120439000064.caj"	"yearbooks/N2014120439000064.pdf"	"yearbooks/N2014120439000064.xls"	"64"
"6-11 各地区农林牧渔业增加值、中间消耗及占农林牧渔业总产值比重"	"6 农林牧渔业总产值、中间消耗及增加值"	"91"	"N2014120439000065"	"2014"	"yearbooks/N2014120439000065.caj"	"yearbooks/N2014120439000065.pdf"	"yearbooks/N2014120439000065.xls"	"65"
"6-12 农林牧渔业总产值"	"6 农林牧渔业总产值、中间消耗及增加值"	"92"	"N2014120439000066"	"2014"	"yearbooks/N2014120439000066.caj"	"yearbooks/N2014120439000066.pdf"	"yearbooks/N2014120439000066.xls"	"66"
"6-13 农林牧渔业总产值构成"	"6 农林牧渔业总产值、中间消耗及增加值"	"93"	"N2014120439000067"	"2014"	"yearbooks/N2014120439000067.caj"	"yearbooks/N2014120439000067.pdf"	"yearbooks/N2014120439000067.xls"	"67"
"6-14 农林牧渔业分项产值及构成"	"6 农林牧渔业总产值、中间消耗及增加值"	"94"	"N2014120439000068"	"2014"	"yearbooks/N2014120439000068.caj"	"yearbooks/N2014120439000068.pdf"	"yearbooks/N2014120439000068.xls"	"68"
"6-15 各地区农林牧渔业总产值"	"6 农林牧渔业总产值、中间消耗及增加值"	"95-96"	"N2014120439000069"	"2014"	"yearbooks/N2014120439000069.caj"	"yearbooks/N2014120439000069.pdf"	"yearbooks/N2014120439000069.xls"	"69"
"6-16 各地区农业分项产值"	"6 农林牧渔业总产值、中间消耗及增加值"	"97-101"	"N2014120439000070"	"2014"	"yearbooks/N2014120439000070.caj"	"yearbooks/N2014120439000070.pdf"	"yearbooks/N2014120439000070.xls"	"70"
"6-17 各地区林业分项产值"	"6 农林牧渔业总产值、中间消耗及增加值"	"102"	"N2014120439000071"	"2014"	"yearbooks/N2014120439000071.caj"	"yearbooks/N2014120439000071.pdf"	"yearbooks/N2014120439000071.xls"	"71"
"6-18 各地区畜牧业分项产值"	"6 农林牧渔业总产值、中间消耗及增加值"	"103-104"	"N2014120439000072"	"2014"	"yearbooks/N2014120439000072.caj"	"yearbooks/N2014120439000072.pdf"	"yearbooks/N2014120439000072.xls"	"72"
"6-19 各地区渔业分项产值"	"6 农林牧渔业总产值、中间消耗及增加值"	"105-106"	"N2014120439000073"	"2014"	"yearbooks/N2014120439000073.caj"	"yearbooks/N2014120439000073.pdf"	"yearbooks/N2014120439000073.xls"	"73"
"6-20 四大地区农林牧渔业总产值及构成"	"6 农林牧渔业总产值、中间消耗及增加值"	"107"	"N2014120439000074"	"2014"	"yearbooks/N2014120439000074.caj"	"yearbooks/N2014120439000074.pdf"	"yearbooks/N2014120439000074.xls"	"74"
"6-21 农林牧渔业总产值"	"6 农林牧渔业总产值、中间消耗及增加值"	"108"	"N2014120439000075"	"2014"	"yearbooks/N2014120439000075.caj"	"yearbooks/N2014120439000075.pdf"	"yearbooks/N2014120439000075.xls"	"75"
"6-22 农林牧渔业总产值指数"	"6 农林牧渔业总产值、中间消耗及增加值"	"109"	"N2014120439000076"	"2014"	"yearbooks/N2014120439000076.caj"	"yearbooks/N2014120439000076.pdf"	"yearbooks/N2014120439000076.xls"	"76"
"6-23 各地区农林牧渔业总产值指数"	"6 农林牧渔业总产值、中间消耗及增加值"	"110"	"N2014120439000077"	"2014"	"yearbooks/N2014120439000077.caj"	"yearbooks/N2014120439000077.pdf"	"yearbooks/N2014120439000077.xls"	"77"
"6-24 各地区农林牧渔业总产值及占全国的比重"	"6 农林牧渔业总产值、中间消耗及增加值"	"111"	"N2014120439000078"	"2014"	"yearbooks/N2014120439000078.caj"	"yearbooks/N2014120439000078.pdf"	"yearbooks/N2014120439000078.xls"	"78"
"6-25 各地区农林牧渔业总产值"	"6 农林牧渔业总产值、中间消耗及增加值"	"112"	"N2014120439000079"	"2014"	"yearbooks/N2014120439000079.caj"	"yearbooks/N2014120439000079.pdf"	"yearbooks/N2014120439000079.xls"	"79"
"6-26 农林牧渔业分项产值及增幅"	"6 农林牧渔业总产值、中间消耗及增加值"	"113"	"N2014120439000080"	"2014"	"yearbooks/N2014120439000080.caj"	"yearbooks/N2014120439000080.pdf"	"yearbooks/N2014120439000080.xls"	"80"
"6-27 各地区农业分项产值"	"6 农林牧渔业总产值、中间消耗及增加值"	"114"	"N2014120439000081"	"2014"	"yearbooks/N2014120439000081.caj"	"yearbooks/N2014120439000081.pdf"	"yearbooks/N2014120439000081.xls"	"81"
"6-28 各地区林业分项产值"	"6 农林牧渔业总产值、中间消耗及增加值"	"115"	"N2014120439000082"	"2014"	"yearbooks/N2014120439000082.caj"	"yearbooks/N2014120439000082.pdf"	"yearbooks/N2014120439000082.xls"	"82"
"6-29 各地区畜牧业分项产值"	"6 农林牧渔业总产值、中间消耗及增加值"	"116"	"N2014120439000083"	"2014"	"yearbooks/N2014120439000083.caj"	"yearbooks/N2014120439000083.pdf"	"yearbooks/N2014120439000083.xls"	"83"
"6-30 各地区渔业分项产值"	"6 农林牧渔业总产值、中间消耗及增加值"	"117"	"N2014120439000084"	"2014"	"yearbooks/N2014120439000084.caj"	"yearbooks/N2014120439000084.pdf"	"yearbooks/N2014120439000084.xls"	"84"
"7 主要农产品种植(养殖)面积与产量"	"7 主要农产品种植(养殖)面积与产量"	"119+121-191"	"N2014120439000085"	"2014"	"yearbooks/N2014120439000085.caj"	"yearbooks/N2014120439000085.pdf"		"85"
"7-1 主要农作物播种面积"	"7 主要农产品种植(养殖)面积与产量"	"121-122"	"N2014120439000086"	"2014"	"yearbooks/N2014120439000086.caj"	"yearbooks/N2014120439000086.pdf"	"yearbooks/N2014120439000086.xls"	"86"
"7-2 主要农作物播种面积及增减情况"	"7 主要农产品种植(养殖)面积与产量"	"123"	"N2014120439000087"	"2014"	"yearbooks/N2014120439000087.caj"	"yearbooks/N2014120439000087.pdf"	"yearbooks/N2014120439000087.xls"	"87"
"7-3 主要农作物播种面积构成"	"7 主要农产品种植(养殖)面积与产量"	"124"	"N2014120439000088"	"2014"	"yearbooks/N2014120439000088.caj"	"yearbooks/N2014120439000088.pdf"	"yearbooks/N2014120439000088.xls"	"88"
"7-4 各地区农作物总播种面积"	"7 主要农产品种植(养殖)面积与产量"	"125"	"N2014120439000089"	"2014"	"yearbooks/N2014120439000089.caj"	"yearbooks/N2014120439000089.pdf"	"yearbooks/N2014120439000089.xls"	"89"
"7-5 各地区粮食播种面积及增减情况"	"7 主要农产品种植(养殖)面积与产量"	"126"	"N2014120439000090"	"2014"	"yearbooks/N2014120439000090.caj"	"yearbooks/N2014120439000090.pdf"	"yearbooks/N2014120439000090.xls"	"90"
"7-6 各地区粮食播种面积"	"7 主要农产品种植(养殖)面积与产量"	"127"	"N2014120439000091"	"2014"	"yearbooks/N2014120439000091.caj"	"yearbooks/N2014120439000091.pdf"	"yearbooks/N2014120439000091.xls"	"91"
"7-7 各地区粮食播种面积"	"7 主要农产品种植(养殖)面积与产量"	"128-129"	"N2014120439000092"	"2014"	"yearbooks/N2014120439000092.caj"	"yearbooks/N2014120439000092.pdf"	"yearbooks/N2014120439000092.xls"	"92"
"7-8 各地区油料播种面积"	"7 主要农产品种植(养殖)面积与产量"	"130"	"N2014120439000093"	"2014"	"yearbooks/N2014120439000093.caj"	"yearbooks/N2014120439000093.pdf"	"yearbooks/N2014120439000093.xls"	"93"
"7-9 各地区棉花和麻类播种面积"	"7 主要农产品种植(养殖)面积与产量"	"131"	"N2014120439000094"	"2014"	"yearbooks/N2014120439000094.caj"	"yearbooks/N2014120439000094.pdf"	"yearbooks/N2014120439000094.xls"	"94"
"7-10 各地区糖料播种面积"	"7 主要农产品种植(养殖)面积与产量"	"132"	"N2014120439000095"	"2014"	"yearbooks/N2014120439000095.caj"	"yearbooks/N2014120439000095.pdf"	"yearbooks/N2014120439000095.xls"	"95"
"7-11 各地区烟叶和药材播种面积"	"7 主要农产品种植(养殖)面积与产量"	"133"	"N2014120439000096"	"2014"	"yearbooks/N2014120439000096.caj"	"yearbooks/N2014120439000096.pdf"	"yearbooks/N2014120439000096.xls"	"96"
"7-12 各地区蔬菜、瓜果类和青饲料播种面积"	"7 主要农产品种植(养殖)面积与产量"	"134"	"N2014120439000097"	"2014"	"yearbooks/N2014120439000097.caj"	"yearbooks/N2014120439000097.pdf"	"yearbooks/N2014120439000097.xls"	"97"
"7-13 各地区主要农作物播种面积构成"	"7 主要农产品种植(养殖)面积与产量"	"135"	"N2014120439000098"	"2014"	"yearbooks/N2014120439000098.caj"	"yearbooks/N2014120439000098.pdf"	"yearbooks/N2014120439000098.xls"	"98"
"7-14 主要农作物产品产量"	"7 主要农产品种植(养殖)面积与产量"	"136"	"N2014120439000099"	"2014"	"yearbooks/N2014120439000099.caj"	"yearbooks/N2014120439000099.pdf"	"yearbooks/N2014120439000099.xls"	"99"
"7-15 主要农作物产品产量及增减情况"	"7 主要农产品种植(养殖)面积与产量"	"137"	"N2014120439000100"	"2014"	"yearbooks/N2014120439000100.caj"	"yearbooks/N2014120439000100.pdf"	"yearbooks/N2014120439000100.xls"	"100"
"7-16 各地区粮食总产量"	"7 主要农产品种植(养殖)面积与产量"	"138"	"N2014120439000101"	"2014"	"yearbooks/N2014120439000101.caj"	"yearbooks/N2014120439000101.pdf"	"yearbooks/N2014120439000101.xls"	"101"
"7-17 各地区分季粮食作物产量"	"7 主要农产品种植(养殖)面积与产量"	"139"	"N2014120439000102"	"2014"	"yearbooks/N2014120439000102.caj"	"yearbooks/N2014120439000102.pdf"	"yearbooks/N2014120439000102.xls"	"102"
"7-18 各地区分品种粮食作物产量"	"7 主要农产品种植(养殖)面积与产量"	"140-141"	"N2014120439000103"	"2014"	"yearbooks/N2014120439000103.caj"	"yearbooks/N2014120439000103.pdf"	"yearbooks/N2014120439000103.xls"	"103"
"7-19 各地区油料产量"	"7 主要农产品种植(养殖)面积与产量"	"142"	"N2014120439000104"	"2014"	"yearbooks/N2014120439000104.caj"	"yearbooks/N2014120439000104.pdf"	"yearbooks/N2014120439000104.xls"	"104"
"7-20 各地区棉花和麻类产量"	"7 主要农产品种植(养殖)面积与产量"	"143"	"N2014120439000105"	"2014"	"yearbooks/N2014120439000105.caj"	"yearbooks/N2014120439000105.pdf"	"yearbooks/N2014120439000105.xls"	"105"
"7-21 各地区糖料产量"	"7 主要农产品种植(养殖)面积与产量"	"144"	"N2014120439000106"	"2014"	"yearbooks/N2014120439000106.caj"	"yearbooks/N2014120439000106.pdf"	"yearbooks/N2014120439000106.xls"	"106"
"7-22 各地区烟叶和蔬菜产量"	"7 主要农产品种植(养殖)面积与产量"	"145"	"N2014120439000107"	"2014"	"yearbooks/N2014120439000107.caj"	"yearbooks/N2014120439000107.pdf"	"yearbooks/N2014120439000107.xls"	"107"
"7-23 主要农作物单位面积产量"	"7 主要农产品种植(养殖)面积与产量"	"146"	"N2014120439000108"	"2014"	"yearbooks/N2014120439000108.caj"	"yearbooks/N2014120439000108.pdf"	"yearbooks/N2014120439000108.xls"	"108"
"7-24 各地区分季粮食作物单位面积产量"	"7 主要农产品种植(养殖)面积与产量"	"147"	"N2014120439000109"	"2014"	"yearbooks/N2014120439000109.caj"	"yearbooks/N2014120439000109.pdf"	"yearbooks/N2014120439000109.xls"	"109"
"7-25 各地区分品种粮食作物单位面积产量"	"7 主要农产品种植(养殖)面积与产量"	"148-149"	"N2014120439000110"	"2014"	"yearbooks/N2014120439000110.caj"	"yearbooks/N2014120439000110.pdf"	"yearbooks/N2014120439000110.xls"	"110"
"7-26 各地区油料作物单位面积产量"	"7 主要农产品种植(养殖)面积与产量"	"150"	"N2014120439000111"	"2014"	"yearbooks/N2014120439000111.caj"	"yearbooks/N2014120439000111.pdf"	"yearbooks/N2014120439000111.xls"	"111"
"7-27 各地区棉花和麻类作物单位面积产量"	"7 主要农产品种植(养殖)面积与产量"	"151"	"N2014120439000112"	"2014"	"yearbooks/N2014120439000112.caj"	"yearbooks/N2014120439000112.pdf"	"yearbooks/N2014120439000112.xls"	"112"
"7-28 各地区糖料作物单位面积产量"	"7 主要农产品种植(养殖)面积与产量"	"152"	"N2014120439000113"	"2014"	"yearbooks/N2014120439000113.caj"	"yearbooks/N2014120439000113.pdf"	"yearbooks/N2014120439000113.xls"	"113"
"7-29 茶叶、水果产量"	"7 主要农产品种植(养殖)面积与产量"	"153"	"N2014120439000114"	"2014"	"yearbooks/N2014120439000114.caj"	"yearbooks/N2014120439000114.pdf"	"yearbooks/N2014120439000114.xls"	"114"
"7-30 茶叶、水果主要品种面积和产量及增减情况"	"7 主要农产品种植(养殖)面积与产量"	"154"	"N2014120439000115"	"2014"	"yearbooks/N2014120439000115.caj"	"yearbooks/N2014120439000115.pdf"	"yearbooks/N2014120439000115.xls"	"115"
"7-31 各地区茶园面积和茶叶产量"	"7 主要农产品种植(养殖)面积与产量"	"155-157"	"N2014120439000116"	"2014"	"yearbooks/N2014120439000116.caj"	"yearbooks/N2014120439000116.pdf"	"yearbooks/N2014120439000116.xls"	"116"
"7-32 各地区果园面积"	"7 主要农产品种植(养殖)面积与产量"	"158-159"	"N2014120439000117"	"2014"	"yearbooks/N2014120439000117.caj"	"yearbooks/N2014120439000117.pdf"	"yearbooks/N2014120439000117.xls"	"117"
"7-33 各地区水果产量"	"7 主要农产品种植(养殖)面积与产量"	"160-163"	"N2014120439000118"	"2014"	"yearbooks/N2014120439000118.caj"	"yearbooks/N2014120439000118.pdf"	"yearbooks/N2014120439000118.xls"	"118"
"7-34 主要林产品产量"	"7 主要农产品种植(养殖)面积与产量"	"164"	"N2014120439000119"	"2014"	"yearbooks/N2014120439000119.caj"	"yearbooks/N2014120439000119.pdf"	"yearbooks/N2014120439000119.xls"	"119"
"7-35 营林面积和主要林产品产量及增减情况"	"7 主要农产品种植(养殖)面积与产量"	"165"	"N2014120439000120"	"2014"	"yearbooks/N2014120439000120.caj"	"yearbooks/N2014120439000120.pdf"	"yearbooks/N2014120439000120.xls"	"120"
"7-36 各地区造林面积"	"7 主要农产品种植(养殖)面积与产量"	"166-169"	"N2014120439000121"	"2014"	"yearbooks/N2014120439000121.caj"	"yearbooks/N2014120439000121.pdf"	"yearbooks/N2014120439000121.xls"	"121"
"7-37 各地区主要林产品产量"	"7 主要农产品种植(养殖)面积与产量"	"170-173"	"N2014120439000122"	"2014"	"yearbooks/N2014120439000122.caj"	"yearbooks/N2014120439000122.pdf"	"yearbooks/N2014120439000122.xls"	"122"
"7-38 主要牲畜出栏量和畜产品产量及增长情况"	"7 主要农产品种植(养殖)面积与产量"	"174"	"N2014120439000123"	"2014"	"yearbooks/N2014120439000123.caj"	"yearbooks/N2014120439000123.pdf"	"yearbooks/N2014120439000123.xls"	"123"
"7-39 各地区主要牲畜出栏量"	"7 主要农产品种植(养殖)面积与产量"	"175"	"N2014120439000124"	"2014"	"yearbooks/N2014120439000124.caj"	"yearbooks/N2014120439000124.pdf"	"yearbooks/N2014120439000124.xls"	"124"
"7-40 各地区肉类总产量"	"7 主要农产品种植(养殖)面积与产量"	"176"	"N2014120439000125"	"2014"	"yearbooks/N2014120439000125.caj"	"yearbooks/N2014120439000125.pdf"	"yearbooks/N2014120439000125.xls"	"125"
"7-41 各地区其他畜产品产量"	"7 主要农产品种植(养殖)面积与产量"	"177"	"N2014120439000126"	"2014"	"yearbooks/N2014120439000126.caj"	"yearbooks/N2014120439000126.pdf"	"yearbooks/N2014120439000126.xls"	"126"
"7-42 牲畜年末存栏头数及增减情况"	"7 主要农产品种植(养殖)面积与产量"	"178"	"N2014120439000127"	"2014"	"yearbooks/N2014120439000127.caj"	"yearbooks/N2014120439000127.pdf"	"yearbooks/N2014120439000127.xls"	"127"
"7-43 各地区牲畜年末存栏情况"	"7 主要农产品种植(养殖)面积与产量"	"179-181"	"N2014120439000128"	"2014"	"yearbooks/N2014120439000128.caj"	"yearbooks/N2014120439000128.pdf"	"yearbooks/N2014120439000128.xls"	"128"
"7-44 水产品产量和养殖面积"	"7 主要农产品种植(养殖)面积与产量"	"182"	"N2014120439000129"	"2014"	"yearbooks/N2014120439000129.caj"	"yearbooks/N2014120439000129.pdf"	"yearbooks/N2014120439000129.xls"	"129"
"7-45 水产品产量和养殖面积及增减情况"	"7 主要农产品种植(养殖)面积与产量"	"183"	"N2014120439000130"	"2014"	"yearbooks/N2014120439000130.caj"	"yearbooks/N2014120439000130.pdf"	"yearbooks/N2014120439000130.xls"	"130"
