"id"	"主要危害部位"	"地理分布"	"为害症状"	"病害类型"	"中文名"	"病原中文名"	"病原拉丁学名"	"主要危害作物"	"病原分类地位"	"病原形态特征"	"相关文献"	"传播途径和发病条件"	"防治方法"	"记录号"	"别名"	"图片"
"11"	"主要为害花器"		"先产生黄色蜜露状粘液，以后颖壳内花部膨大，形成紫黑色、长角形菌核，称麦角。一麦穗上只有几个小穗受害，长出1个至几个麦角，与之相邻小花常不孕。麦角因寄主麦类的不同而大小不一。黑麦麦角直径0．5cm，长约1～3cm。"	"真菌"	"黑麦麦角病"	"麦角菌"	"Claviceps purpurea(Fr．)Tul．"	"麦角菌存在不同专化型。有的既能侵染黑麦、又可侵染大麦、小麦等，有的只能侵染黑麦，但不侵染大麦。"	"子囊菌亚门真菌"	"菌核较硬，紫黑色，内部白色。子囊壳生于菌核萌发长出的子座头内，子座头近球形。子囊壳淡紫色，瓶形，有孔口。子囊无色，筒形，大小12～30×3(μm)，内有8个子囊孢子。子囊孢子无色、丝状，大小50～76μm。分生孢子单胞无色、卵形，大小0．7～3．59μm。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"菌核落入土中越冬。翌年春天萌发出土生成红色子座和子座柄，内生子囊，形成子囊孢子。麦类作物开花时，子囊孢子借风雨、昆虫传播至小花上侵害，约经7天产生蜜露状粘液。粘液内有大量分生孢子，可借昆虫、雨点溅洒等传播，15天左右形成菌核，子房变成麦角。菌核成熟后落入土中越冬，成为第二年初侵染源。 麦类作物花期长、外颖开张大，发病较重。花期多雨、潮湿条件对发病有利。春季土壤湿润，对菌核萌发有利。麦类作物易发生麦角病顺序为：黑麦>小黑麦>大麦>硬粒小麦>普通小麦>燕麦。 麦角是名贵中药材，麦角有毒，种子中混有5％麦角即不能食用，也不可作饲料用。"	"(1)选用无病(麦角)的种子。如果麦种中混有菌核，可用20％～30％盐水汰选。(2)深翻麦地，使菌核不能萌发。(3)与非禾本科作物轮作。清除麦田内外野生寄主。"	"fd00014"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/黑麦麦角病.jpg"
"12"	"主要侵害叶片"		"初发病时在叶面产生浅绿色或黄色无明显边缘的斑驳，病斑扩展有时受叶脉限制。叶背面生白色霉层，即病菌分生孢子梗和分生孢子。"	"真菌"	"荞麦白霉病"	"异形柱隔胞"	"Ramularia anomala Peck"	"荞麦"	"半知菌亚门真菌"	"子实体生在叶背，子座仅数个细胞；分生孢子梗无色，密集，无隔膜，顶端偶而分枝，无膝状节，顶端圆形，大小15～60×2～3(μm)；分生孢子数个串生，单胞端尖，无色透明，最上部的分生孢子顶端呈钝圆形，大小12～18×3～4(μm)。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"南方该病终年存在，病部产生分生孢子借风雨或水滴溅射辗转传播，不存在越冬问题；北方则以菌丝体和分生孢子随病残体遗落土表越冬。翌年以分生孢子进行初侵染，病部产生的孢子又借气流及雨水溅射传播进行再侵染。湿度是该病发生扩展的决定性因素，雨水频繁的年份发病重。"	"(1)施用充分腐熟有机肥。(2)适当密植，避免浇水过量。(3)喷洒75％百菌清可湿性粉剂1000倍液加70％甲基硫菌灵可湿性粉剂1 000倍液或40％多硫悬浮剂600倍液、50％速克灵可湿性粉剂2000倍液，隔7～10天1次，连续防治2～3次。"	"fd00015"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/荞麦白霉病.jpg"
"13"	"主要为害叶片"		"病斑圆形至卵圆形，褐色，四周有淡黄色晕圈。病斑中心灰白色，病斑大小5～10mm，轮纹不明显，中间褪色部分生有小黑粒点，即病原菌的分生孢子器。"	"真菌"	"荞麦斑枯病"	"蓼属壳针孢"	"Septoria polygonorum Desm．"	"荞麦"	"半知菌亚门真菌"	"分生孢子器散生，褐色，壁薄；分生孢子梗短；分生孢子线形，无色，多胞。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"病菌以菌丝体或分生孢子器在病残体上越冬。翌年条件适宜时，分生孢子器吸水后，逸出分生孢子，借风雨传播蔓延，进行初侵染。经几天潜育显症后，又产生新的分生孢子进行再侵染。高温季节、高湿条件下易发病。肥料不足、管理粗放、杂草丛生，植株长势弱发病重。"	"(1)加强田间管理，及时拔除杂草，必要时使用除草剂灭草。(2)发病初期开始喷洒75％百菌清可湿性粉剂600倍液或70％代森锰锌可湿性粉剂500倍液、64％杀毒矾可湿性粉剂400倍液、50％苯菌灵可湿性粉剂1500倍液。"	"fd00016"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/荞麦斑枯病.jpg"
"14"	"侵害叶片和茎秆"		"叶片染病病斑与褐纹病类似，大小0．2～1．5cm，  红褐色，有明显或不明显同心轮纹，周围浅绿色。后期病部生有小黑粒点，即病菌分生孢子  器。病叶提早脱落。茎染病病斑梭形，红褐色，植株枯死后变为黑色，上生黑褐色小点。"	"真菌"	"荞麦褐斑病"	"荞麦壳二孢"	"Ascochyta  fagopyri  Bres．"	"荞麦"	"半知菌亚门真菌"	"分生孢子器生在叶表面，埋生在组织里，球形，大小88～150×88～138(μm)，有孔口。分生孢子椭圆筒形，直或稍弯曲，两端钝，无色，大小8．7～17．5×3．7～6．5(μm)，有1个隔膜或无。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"病菌在病残体上越冬，翌年产生分生孢子，通过风雨进行传播蔓延，8月普遍发生。个别地块因此病而早期落叶。"	"(1)收获后注意清除病残体，以减少菌源。(2)必要时喷洒36％甲基硫菌灵悬浮剂600倍液或50％多菌灵可湿性粉剂800倍液、50％速克灵可湿性粉剂1000倍液。"	"fd00017"	"轮纹病"	"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/荞麦褐斑病.jpg"
"15"	"主要为害叶片"		"病斑褐色，有轮纹。本病有时随Cercospora fagopyri后侵入，在褐斑病病斑的周围引起具有轮纹的褐斑。"	"真菌"	"荞麦黑斑病"	"链格孢"	"Alternaria tenuis Nees"	"荞麦"	"半知菌亚门真菌"	"见粟假黑斑病"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"东北9月发生，长江以南6月可见。另见粟假黑斑病."	"见粟假黑斑病."	"fd00018"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/荞麦黑斑病.jpg"
"16"	"主要为害幼苗"		"初在茎基部生红褐色凹陷斑，影响荞麦生长发育，严重时引致死亡。"	"真菌"	"荞麦立枯病"	"立枯丝核菌,有性态为瓜亡革菌"	"Rhizoctonia solani Kühn有性态为Thanatephorus  cucumeris (Frank) Donk"	"荞麦"	"半知菌亚门真菌"	"该菌分为三大群，其中一群是多核的立枯丝核菌，具3个或3个以上的细胞核，菌丝较大型，直径约6～10μm，其有性态为Thanatephorus  cucumeris (Frank) Donk称瓜亡革菌。在土壤中形成薄层蜡质状或白粉色网状至网膜状子实层，产生的担子桶形至亚圆筒形，比支撑担子的菌丝略宽一些，担子具3～5个小梗，其上着生担孢子；担孢子椭圆形至宽棒状，基部较宽，大小7．5～12×4．5～5．5(μm)，担孢子能重复萌发，在担子上形成2次担子。该菌由单一菌丝尖端的分枝密集而形成或是由尖端紧密地和菌丝密集而形成菌丝结。菌丝融合群不同，在形态、病理、生理和生态方面也不完全相同。至于各融合群的致病特异性及他们之间的内在联系及在自然界的作用还需进一步明确。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"以菌丝体或菌核在土中越冬，且可在土中腐生2～3年。菌丝能直接侵入寄主，通过水流、农具传播。病菌发育适温24℃，最高40～42℃，最低13～15℃，适宜pH3～9．5。播种过密、间苗不及时、温度过高易诱发本病。病菌除为害荞麦外，还可为害多种农作物。"	"(1)选用抗病品种。(2)施用日本酵素菌沤制的堆肥。(3)提倡施用移栽灵混剂，杀菌力强，且能促进植物根系对不良条件抵抗力，也可在发病初期喷淋20％甲基立枯磷乳油(利克菌)1200倍液或36％甲基硫菌灵悬浮剂500倍液、5％井冈霉素水剂1500倍液、95％恶霉灵精品4000倍液。"	"fd00019"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/荞麦立枯病.jpg"
"17"	"主要为害叶片"		"初在叶表形成圆形至椭圆形红褐色斑点，大小2～5mm，后内部变为灰色，病斑外围红褐色。湿度大时叶背生有灰色霉状物，即病菌子实体。"	"真菌"	"荞麦叶斑病"	"荞麦尾孢"	"Cercospora fagopyri  Nakata et Takimoto"	"荞麦"	"半知菌亚门真菌"	"分生孢子梗暗黄色，大小73～96×5．5(μm)，有时有1个隔膜。分生孢子无色，稍弯曲，大小46～101×4．6(μm)，有隔膜3～7个。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"病菌以菌丝块和分生孢子在荞麦等病残体上越冬，翌年由此引起本病。东北8月发生。"	"秋收后及时深耕，将表土翻入深处。"	"fd00020"	"褐纹病"	"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/荞麦叶斑病.jpg"
"18"	"种子的胚和颖片"	"遍布国、内外燕麦种植区"	"主要发生在抽穗期。病、健株抽出时间趋于一致。染病种子的胚和颖片被毁坏，其内充满黑褐色粉末状厚垣孢子，其外具坚实不易破损的污黑色膜。厚垣孢子粘结较结实不易分散，收获时仍呈坚硬块状，故称坚黑穗病。有些品种颖片不受害，厚垣孢子团隐蔽在颖内难于看见。"	"真菌"	"燕麦坚黑穗病"	"燕麦坚黑粉菌"	"Ustilago levis(Kell．et Swing)Magn．异名有U．hordei Kell et Sw．；U．hordei (Pers．)Lagerh．"	"寄生于大麦和燕麦上。"	"担子菌亚门真菌"	"孢子堆生在花器里。厚垣孢子球形至椭圆形，黑褐色，表面光滑无刺突，大小6～9μm。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"病菌发育温限4～34℃，适温为15～28℃。该菌有不同的生理小种。 病菌在收获或打场时散出厚垣孢子附在种子上或落入土壤及混在肥料中越冬或越夏。孢子抗逆性强，可在土中存活2～5年，成为翌年的初侵染源。春播种子萌发时，冬孢子也随之发芽产生具3个横隔的圆棒形担子，在担子顶端产生4个担孢子。担孢子萌发后产生次生小孢子，异宗小孢子萌发后相互质配，产生具双核的菌丝，侵入寄主的幼芽。后随植株生长而向上扩展，开花时进入花器中，子房被破坏，产生大量厚垣孢子，形成病穗。厚垣孢子萌发温度范围为4～34℃，适温为15～28℃。温度高、湿度大利于发病。大莜麦、小莜麦、华北1号、尖莜麦、秃莜麦等易感病。"	"(1)选用抗病品种  如内蒙古的燕麦2号(品1163)、黑龙江海伦县2001品种、河北张北县2031野生种、新疆额敏2056品种、新疆沙弯2131、2132、2151品种、青海黄燕麦、黑珠子燕麦、竹子燕麦、红燕麦、苏联品种苏联燕麦1号、苏联燕麦2号、苏维埃339、匈牙利君士坦、普遍野麦、澳大利亚夫尔马克、维多利亚品种阿缓等。(2)药剂处理种子用种子重量0．5％～1％的细硫磺粉拌种或用1％福尔马林液均匀喷在种子上，充分拌匀后盖上草袋，放置5小时后马上播种。此外也可选用50％多菌灵可湿性粉剂或50％苯菌灵可湿性粉剂、15％三唑酮可湿性粉剂、50％禾穗胺可湿性粉剂，用种子重量的0．2％拌种，防效优异。(3)抽穗后发现病株及时拔除，携至田外集中烧毁。"	"fd00023"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/燕麦坚黑穗病.jpg"
"19"	"穗"	"我国黑龙江、吉林、辽宁、河北、山西、内蒙古、四川、江苏、福建、台湾均有发生。"	"燕麦散黑穗病是我国南、北方燕麦种植区常见种传病害。主要侵害种子。大部分整穗发病，个别中、下部穗粒发病。病株矮小，仅是健株株高的1／3～1／2，抽穗期提前。病状始见于花器，染病后子房膨大，致病穗的种子充满黑粉，外被一层灰膜包住，后期灰色膜破裂，散出黑褐色的厚垣孢子粉末，剩下穗轴。我"	"真菌"	"燕麦散黑穗病"	"燕麦散黑粉菌"	"Ustilago avenae(Pres．)Rostr．异名U．nigra Tapke。"	"燕麦"	"担子菌亚门真菌"	"病菌孢子堆生于花器中，一般只破坏部分小穗。穗轴和芒颖受害较轻。厚垣孢子圆形至椭圆形，大小5～6×7～9(μm)，橄榄褐色，表面具细刺，孢子萌发产生担子和担孢子。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"病菌以厚垣孢子存在于颖片与种子之间或孢子萌发后，以菌丝潜伏在颖片与种皮之间越冬或越夏。带病种子播种后，孢子萌发或休眠菌丝恢复活动后，随之侵入幼苗。该菌是以双核菌丝从寄主幼苗的胚芽基部胚芽短于2．5cm时侵入，后随植株生长，向生长点和穗部扩展，在燕麦籽实里形成厚垣孢子。燕麦开花期，病株上的厚垣孢子散布降落在健株的花上，以菌丝体侵入护颖和种皮，使种子染病成为外观上看不出来的带菌种子。病菌在种子内越冬。病菌发育温限4～34℃，适温为18～26℃。生产上播种期降雨少，土壤含水量低于30％，幼苗出苗慢，生长缓慢，病菌侵入期拉长，当年易发病。播种过深发病重。"	"(1)选用抗病品种如内蒙古的二虎头莜麦、山西北部的五寨莜麦。(2)温汤浸种用55℃热水浸种10分钟；也可先用冷水预浸3小时，然后用52℃热水浸种5分钟，再放入冷水中冷却，捞出晾干备用。(3)把40％福尔马林配成1％溶液，均匀喷到种子上，充分拌匀后盖上麻袋或塑料薄膜，闷种5小时后马上播种；也可用280倍液40％福尔马林浸种60分钟后晾干播种。(4)用5％皂矾液浸种4～6小时或用种子重量0．5％～1％的细硫磺粉拌种。(5)因地制宜适时早播，把地整平，提高播种质量。"	"fd00024"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/燕麦散黑穗病.jpg"
"20"	"主要为害叶片、下部叶鞘及茎基部"		"叶片染病初生梭形至近梭形红褐色病斑，上生暗色长形分生孢子盘，很象条锈病的冬孢子堆。叶鞘和茎基部染病产生类似的症状。发病严重时，影响籽粒饱满程度。"	"真菌"	"燕麦炭疽病"	"禾生炭疽菌,有性态为禾生小丛壳"	"Colletotrichum graminicola(Ces．)G．Wils．异名：Colletotrichum    graminicolum(Ces．)G．W．Wils．有性态为Glomerella raminicola  Polltis"	"燕麦"	"半知菌亚门真菌,有性态为子囊菌亚门真菌"	"参见小麦炭疽病。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"参见小麦炭疽病。"	"参见小麦炭疽病。"	"fd00025"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/燕麦炭疽病.jpg"
"21"	"叶、叶鞘及茎秆"	"东北、内蒙古个别年份发病普遍且严重。"	"该病包括冠锈、秆锈和条锈3种，遍布国内外燕麦种植区。我国前两种受害重，且偏南燕麦区受害重。燕麦冠锈病  主要发生在燕麦生长的中后期，病斑生在叶、叶鞘及茎秆上。发病初期，叶片上产生橙黄色椭圆形小斑，后病斑渐扩展出现稍隆起的小疮胞，即夏孢子堆。当孢子堆上的包被破裂后，散发出夏孢子。后期燕麦近枯黄时，在夏孢子堆基础上产生黑色的、表皮不破裂的冬孢子堆。"	"真菌"	"燕麦锈病"	"禾冠柄锈菌燕麦专化型,禾柄锈菌燕麦变种"	"燕麦冠锈病菌为Puccinia coronata f．sp．avenae Erikss秆锈病菌为Puccinia graminis Pers．var．avenae  Eriks．et E．Henn．"	"能侵染多种禾本科植物"	"担子菌亚门真菌"	"有关专家把它分做10个变种，其中侵染燕麦的为P．coronata  f． sp．Avenae  Erikss称禾冠柄锈菌燕麦专化型。性孢子器生于鼠李属植物的叶面，锈孢子器生于叶背，夏孢子堆生于燕麦叶背，椭圆形至长条形，大小1．2～2．0×0．8～1．2(mm)。夏孢子浅黄色，球形或近球形，大小18．8～25×15～21．3(μm)，壁外具细刺，无侧丝。冬孢子堆生在叶背，椭圆形，大小0．6～1．1mm，包被不破裂。冬孢子深褐色，双细胞，棍棒状，大小33～62×14～25(μm)，顶端具指状突起3～7个，状似皇冠，因此称为冠锈病。禾柄锈菌把寄生在燕麦、鸭茅等少数禾草上的秆锈菌定名为P．graminis Pers．var．avenae  Eriks．et E．Henn．称为禾柄锈菌燕麦变种或燕麦秆锈菌。 性孢子器生于小檗叶的两面，锈孢子器生在隆起的、橙黄色斑点的背面，夏孢子堆生在燕麦秆、叶或叶鞘上，长椭圆形，夏孢子球形至椭圆形，有细刺，浅褐色，大小18～40×15～25(μm)，具芽孔4个。冬孢子堆黑色，椭圆形；冬孢子双胞，棍棒状，顶部隆起或近圆形，大小28～64×14～24(μm)。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"两种燕麦锈病流行规律与小麦锈病相似。在贵州、云南则以夏孢子阶段进行重复侵染，完成整个周年侵染循环；在山区或云贵高原，其发生期随海拔高度上升而延迟；低温地区始发于4月上旬，5月中、下旬进入盛发期；海拔2000m以上地区推迟20～30天。"	"(1)选育抗病品种如内蒙古的永456，引进的哈里曼、海蒙、罗瑟尔、加拿大西部3号、盖密涅、加利、罗德纳等。此外哈里曼、永456、73～10等抗秆锈。(2)提前播种，使大田锈病盛发期处在燕麦的生育后期，可减少损失。(3)大田锈病始发期和始盛期及时喷洒20％三唑酮乳油1500～2000倍或25％敌力脱乳油4000倍液、20％敌锈钠可湿性粉剂1000倍液，隔15～20天1次，防治1～2次。"	"fd00027"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/燕麦锈病.jpg"
"22"	"主要为害叶片和叶鞘。"	"分布在我国各燕麦产区。"	"发病初期病斑呈水浸状，灰绿色，大小1～2×0．5～1．2(mm)，后渐变为浅褐色至红褐色，边缘紫色。病斑四周有一圈较宽的黄色晕圈，后期病斑继续扩展达7～25×2～4(mm),系不规则形条斑。严重时病斑融合成片，从叶尖向下干枯。在我国南方燕麦区，该病常与锈病混合发生，对产量影响较大。"	"真菌"	"燕麦叶斑病"	"燕麦德氏霉,有性态称燕麦核腔菌"	"Drechslera avenae (Eidam)Shoemaker=Helminthosporium avenae(Eidam)有性态为Pyrenophora avenae Eidam Ito et Kurib．有性态为Pyrenophora avenae Eidam Ito et Kurib．"	"燕麦"	"半知菌亚门真菌,有性态属子囊菌亚门真菌"	"分生孢子梗1～4根，单生或丛生，具3～8个隔膜，大小65～210 ×8～12(μm)；分生孢子圆柱状，两端圆，浅黄褐色，具3～9个横隔膜，脐明显内凹，大小65～130×15～20(μm)。子囊座烧瓶状，埋生在表皮下，外壁常附生分生孢子梗。子囊棍棒状，大小250～400×35～45(μm)，内含2～8个子囊孢子。子囊孢子卵圆形，具3～6个横隔膜，1～4个纵隔膜，浅黄褐色，大小45～70×15～25(μm)。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"云南、贵州一带病菌以孢子囊、分生孢子或菌丝在病残体上或病种子上越冬。翌年春天产生分生孢子从幼嫩组织侵入，发病后又产生分生孢子进行多次重复侵染。土温低、湿度高，苗期易发病，生长期天气潮湿发病重。"	"发病重的地区或田块，于发病初期开始喷洒36％甲基硫菌灵悬浮剂500～600倍液或50％多菌灵可湿性粉剂800倍液、50％苯菌灵可湿性粉剂1500倍液，防治1次或2次。"	"fd00028"	"条纹叶枯病"	"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/燕麦叶斑病.jpg"
"23"	"主要为害叶片、叶鞘、颖"		"叶片染病初生1～2×0．5～1(mm)、边缘不明显的黄色至黄褐色病斑，后扩大至5～20×2～3(mm)，中间褐色，四周略带黄色。病斑多时，从叶尖端逐渐向下枯死。该病多从下部叶片开始发生，逐渐向上扩展。叶鞘染病病症与叶片相似。"	"真菌"	"麦叶枯病"	"一种平脐蠕孢"	"Bipolaris victoriae(Mechan et Murphy)Shoem．异名Helminthosporium victoriae Mechan et Murphy"	"小麦"	"半知菌亚门真菌"	"参见小麦蠕孢叶斑病。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"参见小麦蠕孢叶斑病。"	"参见小麦蠕孢叶斑病。"	"fd00029"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/麦叶枯病.jpg"
"24"	"叶片和叶鞘"	"我国山东沿海、四川、贵州、云南发生普遍，为害也重。近年来该病在东北、华北、西北麦区，亦有日趋严重之势。"	"该病可侵害小麦植株地上部各器官，但以叶片和叶鞘为主，发病重时颖壳和芒也可受害。初发病时，叶面出现1～2mm的白色霉点，后逐渐扩大为近圆形至椭圆形白色霉斑，霉斑表面有一层白粉，遇有外力或振动立即飞散。这些粉状物就是该菌的菌丝体和分生孢子。后期病部霉层变为灰白色至浅褐色，病斑上散生有针头大小的小黑粒点，即病原菌的闭囊壳。"	"真菌"	"小麦白粉病"	"禾本科布氏白粉菌小麦专化型"	"Blumeria graminis(DC．)Speer=Erysipe  graminis DC．、E. graminis DC. f. sp．triticl。Marchal"	"小麦"	"子囊菌亚门真菌"	"Blumeria graminis(DC．)Speer=Erysipe  graminis DC．、E. graminis DC. f. sp．triticl。Marchal称禾本科布氏白粉菌小麦专化型，属子囊菌亚门真菌。菌丝体表寄生，蔓延于寄主表面在寄主表皮细胞内形成吸器吸收寄主营养。在与菌丝垂直的分生孢子梗端，串生10～20个分生孢子，椭圆形，单胞无色，大小25～30×8～10(um)，侵染力持续3～4天。病部产生的小黑点，即病原菌的闭囊壳，黑色球形，大小163～219um，外有发育不全的丝状附属丝18～52根，内含子囊9～30个。子囊长圆形或卵形，内含子囊孢子8个，有时4个。子囊孢子圆形至椭圆形，单胞无色，单核，大小18．8～23×11．3～13.8(um)。子囊壳一般在小麦生长后期形成，成熟后在适宜温湿度条件下开裂，放射出子囊孢子。该菌不能侵染大麦，大麦白粉菌也不侵染小麦。小麦白粉菌在不同地理生态环境中与寄主长期相互作用下，能形成不同的生理小种，毒性变异很快。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"病菌靠分生孢子或子囊孢子借气流传播到感病小麦叶片上，遇有温湿度条件适宜，病菌萌发长出芽管，芽管前端膨大形成附着胞和侵入丝，穿透叶片角质层，侵入表皮细胞，形成初生吸器，并向寄主体外长出菌丝，后在菌丝丛中产生分生孢子梗和分生孢子，成熟后脱落，随气流传播蔓延，进行多次再侵染。病菌在发育后期进行有性繁殖，在菌丛上形成闭囊壳。 该病菌可以分生孢子阶段在夏季气温较低地区的自生麦苗或夏播小麦上侵染繁殖或以潜育状态渡过夏季，也可通过病残体上的闭囊壳在干燥和低温条件下越夏。病菌越冬方式有两种，一是以分生孢子形态越冬，二是以菌丝体潜伏在寄主组织内越冬。越冬病菌先侵染底部叶片呈水平方向扩展，后向中上部叶片发展，发病早期发病中心明显。冬麦区春季发病菌源主要来自当地。春麦区，除来自当地菌源外，还来自邻近发病早的地区。 该病发生适温15～20℃，低于10℃发病缓慢。相对湿度大于70％有可能造成病害流行。少雨地区当年雨多则病重，多雨地区如果雨日、雨量过多，病害反而减缓，因连续降雨冲刷掉表面分生孢子。 施氮过多，造成植株贪青、发病重。管理不当、水肥不足、土地干旱、植株生长衰弱、抗病力低、也易发生该病。此外密度大发病重。"	"(1)种植抗病品种可选用郑州8915、郑州831，豫麦9、15、16、21、24号，中育4号，北农9号，冀麦23、24、26号、84—5418、138号，鲁麦1、5、7号，城辐752，高38、贵阿1号、贵丰1号、贵农19、20、21、22，黔丰3号，81—7241，冬丰1号，BT8812，BT一7032，京核883，8814，花培28，鲁麦14、22号，中麦2号，京农8445等。此外新选育的抗白粉病冬小麦品种还有百农64，温麦4号，周麦9号，新宝丰，冀审4185，6021新系，皖麦25，26，扬麦158，川麦25，绵阳26，劲松49号，早麦5号，京华1号，3号，京核3号，京411，北农白等。春小麦抗白粉病的品种有垦红13号、垦九5号、定丰3号等。上述抗病新品种，各地可因地制宜选用。如北京冬小麦现在以京411为主栽品种，高肥麦田搭配种植京冬8号、京冬6号、中麦9号。中肥及水浇条件差的种植京437、京核1号、轮抗6号等抗旱、耐瘠的品种。稻茬麦及晚播麦田可选用京411、京冬8号、京双18等。(2)提倡施用酵素菌沤制的堆肥或腐熟有机肥，采用配方施肥技术，适当增施磷钾肥，根据品种特性和地力合理密植。南方麦区雨后及时排水，防止湿气滞留。北方麦区适时浇水，使寄主增强抗病力。(3)自生麦苗越夏地区，冬小麦秋播前要及时清除掉自生麦，可大大减少秋苗菌源。(4)药剂防治①用种子重量0．03％(有效成分)25％三唑酮(粉锈宁)可湿性粉剂拌种，也可用15％三唑酮可湿性粉剂20～25g拌667m 2 麦种防治白粉病，兼治黑穗病、条锈病、根腐病等。②在小麦抗病品种少或病菌小种变异大抗性丧失快的地区，当小麦白粉病病情指数达到1或病叶率达10％以上时，开始喷洒20％三唑酮乳油1000倍液或40％福星乳油8000倍液，也可根据田间情况采用杀虫杀菌剂混配做到关键期一次用药，兼治小麦白粉病、锈病等主要病虫害。小麦生长中后期，条锈病、白粉病、穗蚜混发时，667m 2 用粉锈宁有效成分7g加抗蚜威有效成分3g加磷酸二氢钾150g；条锈病、白粉病、吸浆虫、粘虫混发区或田块，667m 2 用粉锈宁有效成分7g加40％氧化乐果2000倍液加磷酸二氢钾150g。赤霉病、白粉病、穗蚜混发区，667m 2 用多菌灵有效成分40g加粉锈宁有效成分7g加抗蚜威有效成分3g加磷酸二氢钾150g。"	"fd00043"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/小麦白粉病.jpg"
