"id"	"入侵时间及地点"	"防治方法"	"别名"	"危害特点"	"中文名"	"生物学特征及发生消长规律"	"纲"	"目"	"科"	"属"	"英文名"	"传播途径"	"入侵地"	"门"	"原产地"	"形态特征"	"相关文献"	"拉丁学名"	"记录号"	"图片"
"178"	"1985年引种回中国海南东寨港红树林自然保护区试种"				"无瓣海桑"		"双子叶植物纲"	"桃金娘目"	"海桑科"	"海桑属"			"汕头、深圳、香港、广州"	"被子植物门"	"孟加拉国"	"乔木。高15～20m。主干圆柱形，有笋状呼吸根伸出水面；茎干灰色，幼时浅绿色。小枝纤细下垂，有隆起的节。叶对生，厚革质，椭圆形至长椭圆形，叶柄淡绿色至粉红色。总状花序。花瓣缺。雄蕊多数，花丝白色。柱头蘑菇状。浆果球形，每果含种子50粒左右。"		"Sonneratia apetala"	"PL00178"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/无瓣海桑.jpg"
"179"				"为绿肥、覆盖作物，含有皂素，牲畜误食会中毒。"	"无刺含羞草"		"双子叶植物纲"	"蔷薇目"	"豆科"	"含羞草属"	"Giant sensitive plant，Spineless mimosa"		"福建"	"被子植物门"	"拉丁美洲"	"无刺含羞草就是其茎上没有刺，其它特征与有刺含羞草的相同。"		"Mimosa nivlsa var．inermls"	"PL00179"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/无刺含羞草.jpg"
"180"			"五叶爬山虎、美国地锦"	"一般性杂草。"	"五叶地锦"	"攀缘性藤本。 东北、华北各地栽培，可向南引种，长江流域长势良好，是优良的城市垂直绿化植物树种，有时逸为野生。 花期7-8月，过期10月。 喜光，能耐阴，耐寒，对土壤和气候适应性强，但在肥沃的沙质土壤生长良好。"	"双子叶植物纲"	"鼠李目"	"葡萄科"	"爬山虎属"	"Virginia Creeper"		"东北、华北各地"	"被子植物门"	"北美"	"幼枝带红色。卷须与叶对生，顶端具吸盘。叶互生，掌状复叶具5小叶，椭圆状长圆形或椭圆形，秋叶变黄色或红色。圆锥状二岐聚伞花序较疏散，与叶对生，花黄绿色。浆果球形，兰黑色。"	"植物志编辑委员会，1998b. 中国植物志. 48卷第2分册. p.20"	"Parthenocissus quinquefolia (L.) Planch."	"PL00180"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/五叶地锦.jpg"
"181"	"根据Dunn & Tutcher (1912年)记载，该种当时已在香港归化，攀于乔木和灌丛上。"		"槭叶牵牛，番仔藤，台湾牵牛花，掌叶牽牛，五爪龙"	"一般性杂草。该种在华南地区广泛蔓延，覆盖小乔木、灌木和草本植物，成为园林中一种害草。"	"五爪金龙"	"多年生缠绕草本。多生于低海拔地区向阳处，在围墙、屋檐、平地或山地路旁灌丛等地生长。种子繁殖。"	"双子叶植物纲"	"茄目"	"旋花科"	"甘薯属"	"Palmate-leaved Morning Glory"		"台湾，广东，广西，云南（南部），福建，海南，香港，澳门等地"	"被子植物门"	"模式标本采自欧洲，有的学者认为原产地是美洲"	"根块状。茎长达或超过5m，无毛或略粗糙，略具棱。叶5裂达基部，中裂片较大，卵形、卵状披针形或椭圆形，长4~5cm，宽2~2.5cm，基部一对裂片再浅裂或深裂，先端急尖或微钝而具短尖头；叶柄长2~8cm，常具假托叶。花序具1至数花，花序梗长2~8cm；苞片和小苞片早落；花梗长0.5~2cm。萼片不相等，外面两片较短，长4~6.5mm，无毛；花冠粉红色或紫红色，稀白色，漏斗状，长5~7cm；雄蕊内藏，不等长；雌蕊内藏，子房无毛，柱头2裂。蒴果多少球形，长约1cm。种子黑色，长约5mm，密被毛。"	"李振宇，解焱，2002.中国外来入侵种. 北京：中国林业出版社. p.136."	"Ipomoea cairica (L.) Sweet"	"PL00181"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/五爪金龙.jpg"
"182"			"鸡蛋果、百香果，热情果，巴西果"		"西番莲"	"西番莲是西番莲科西番莲属植物，全属有400余种，大都原产美洲热带地区，我国原产13种。它们喜光，喜温暧至高温湿润的气候，不耐寒。生长快，开花期长，开花量大，适宜于北纬24度以南的地区种植。对土壤的要求虽不很严格，但要获得丰产、稳产的收成，则要求土壤疏松肥沃，有机质丰富、水分充足排水良好、灌水方便的生长环境。在气候的适应性方面，则要求温暖、全年无冻害的天气。"	"双子叶植物纲"	"西番莲目"	"西番莲科"	"西番莲属"	"Blue passionflower"		"福建、广东、广西、海南、江西、四川、云南、重庆"	"被子植物门"	"拉丁美洲、巴西"	"多年生常绿攀缘木质藤本植物。有卷须，单叶互生，具叶柄，其上通常具2枚腺体，聚伞花序，有时退化仅存1～2花。花两性，单性，偶有杂性，萼片5，常成花瓣状，其背顶端常具1角状附属器；花瓣5，有时无，花冠 与 雄蕊之间具1 至数轮丝状或鳞片状副花冠，有时无；内花冠各异；雄蕊通常5；雌蕊由3～5 枚心皮组成，子房上位，生于雌雄蕊柄上 ，1室，具数枚倒生胚珠 。夏季开花，花大，淡红色，微香。果为蒴果，室背开裂或为肉质浆果。鲜果形似鸡蛋，果汁色泽类似鸡蛋蛋黄，故得别称“鸡蛋果”。"		"Passionfora edulis f. flavicarpa Deg."	"PL00182"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/西番莲.jpg"
"183"			"牛筋草、路边草、鸭脚草、蹲倒驴、牛顿草、千人踏"	"是棉花、豆类、薯类、蔬菜、果园等重要杂草。"	"蟋蟀草"	"上海一带于4月中下旬出苗，5月上、中旬进入发生高峰，6—8月发生少，部分种子1年内可生2代。秋季成熟的种子在土壤中休眠3个多月，在o一1cm土中发芽率高，深3cm以上不发芽。发芽需在20一40℃变温条件下有光照。恒温条件下发芽率低，无光发芽不良。"	"单子叶植物纲"	"禾本目"	"禾本科"	"䅟属"	"India Goosegrass"		"广州、江苏、云南、福建"	"被子植物门"	"热带亚洲"	"茎秆丛生，斜升或倡卧，有的近直立，株高15—90cm。叶片条形；叶鞘扁，鞘口具毛，叶舌短。穗状花序2—7枚，呈指状排列在秆端；穗轴稍宽，小穗成双行密生在穗轴的一侧，有小花3—6个；颖和稃无芒，第一颖片较第二颖片短，第一外稃有3脉，具脊，脊上粗糙，有小纤毛。颖果卵形，棕色至黑色，具明显的波状皱纹。靠种子繁殖。"		"Eleusine indica (Linn.) Gaertn."	"PL00183"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/蟋蟀草.jpg"
"185"	"20世纪初在香港发现"	"细叶芹种子细小，种子埋藏深度对萌发出苗率影响较大，种植前深翻土地是预防其出苗数量的有效方法，精细的田间管理与及时中耕除草也是控制细叶芹危害的主要方法。化学防除方法常选择莠去津、草净津等除草剂。"		"该种是常见的农田杂草之一，常生长在小麦、玉米、大豆、棉花等农田中，影响作物的正常生长，还可能成为多种病菌及害虫的寄主与传染源。"	"细叶芹"	"一年生草本，通常生长在田野、荒地、草坪、路旁，常与其他杂草混生。在农田中也常见。花期4~5月，果期6~7月。种子繁殖。"	"双子叶植物纲"	"伞形目"	"伞形科"	"芹属"	"Thin-leaved Celery"	"种子常混入进口蔬菜，特别是旱芹、胡萝卜种子中引进与扩散。"	"福建、广东、广西、湖北、湖南、江苏、上海、台湾、香港、浙江"	"被子植物门"	"加勒比海多米尼加岛"	"高30~45cm，茎多分枝，无毛。基生叶三角状卵形，基部扩大成膜质叶鞘，3~4回羽状分裂，末回裂片线形至丝状；茎生叶常为三出式羽状分裂。顶生和侧生的复伞形花序无总花梗或稍有短梗；无总苞片，花瓣白色或绿白色，卵圆形。果心状卵球形，分果具5棱，棱圆，花柱甚短。"		"Apium leptophyllum"	"PL00185"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/细叶芹.jpg"
"186"			"雁来红，老来少，三色苋"	"一般性杂草。通常栽培作蔬菜，有时逸为半野生，侵入其它作物田后，亦可造成草害；在有些菜园危害较重。 茎、叶、根药用，有解毒、明目、利大小便、祛风湿的功效。栽培作蔬菜；叶具颜色的品种供观赏。"	"苋"	"一年生草本。 花期6—8月，果期7—9月。繁殖能力极强，种子繁殖。 苋为短日照作物。喜温、喜光，最适生长温度为20-30℃，耐旱、耐盐碱，对土壤要求不严，肥沃土壤、贫瘠土壤上均可种植，酸性或碱性土壤上都可生长，适宜在排水良好的壤土和砂壤土上种植。"	"双子叶植物纲"	"石竹目"	"苋科"	"苋属"	"Three-coloured Amaranth,Flower Gentle"		"全国各地均有分布"	"被子植物门"	"热带亚洲（印度）"	"高60—150厘米。茎直立，粗壮，光滑或稍有细毛，通常分枝。叶卵形至椭圆状披针形，长4—12厘米，宽2—7厘米，基部突狭，渐变为长叶柄，绿色，常有红、紫、黄等色变化。花密集成球形花簇，花簇腋生或组成顶生下垂的穗状花序；苞片锥形或卵形，透明、膜质，有芒尖；花被片3，倒披针形，绿色或红色，有芒尖，边缘透明；雄花有雄蕊3；雌花花柱2—3，线状，有毛。胞果卵状长圆形，盖裂；种子扁豆形。黑色，有光泽。"	"李扬汉，1998. 中国杂草志. p.91；"	"Amaranthus tricolor L."	"PL00186"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/苋.jpg"
"187"			"除虫菊(贵州)、大金鸡菊"		"线叶金鸡菊"	"花期5月。"	"双子叶植物纲"	"菊目"	"菊科"	"金鸡菊属"	"Lance-leaf Coreopsis"		"安徽、江苏、浙江、江西"	"被子植物门"	"北美洲"	"多年生草本，高30～70厘米。茎直立，具短绒毛，上部分枝。叶对生，3～5深裂，裂片线状披针形，顶端裂片长5～8厘米，宽1～1.5厘米，先端圆钝，基部狭。头状花序腋生或顶生，径4～6厘米；花梗长10～30厘米；总苞片2列，每列8枚，外列较短；舌状花黄色，先端具2～4浅齿；管状花黄色。瘦果椭圆形。"		"Coreopsis lanceolata"	"PL00187"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/线叶金鸡菊.jpg"
"188"	"20世纪20年代在广东南部引种"		"岩兰草，培地茅"	"一般性杂草。该种植物高大，常形成密丛，还能分泌化感物质，排挤当地植物。"	"香根草"	"紧密丛生的多年生草本，喜生潮湿溪流旁和疏松粘壤土上。花果期8~10月。种子繁殖或营养繁殖。"	"单子叶植物纲"	"禾本目"	"禾本科"	"香根草属"	"Vetiver"		"江苏，浙江，福建，台湾，广东，海南，四川"	"被子植物门"	"地中海地区至印度"	"须根含挥发性浓郁的香气。秆中空，高1~2.5m，直径约5mm。叶鞘无毛，具背脊；叶舌短，边缘具纤毛；叶剑形，平滑，扁平，下部对折，长约75cm，宽约8mm，边缘有锯齿状突起，顶生叶较小。圆锥花序大型，顶生；主轴粗壮，各节具多数轮生的分枝，分枝细长上举；总状花序轴节间与小穗柄无毛；无柄小穗线状披针形，长4~5mm，基盘无毛；第一颖革质，边缘稍内折，近两侧压扁，背部圆形，5脉不明显，生有疣基刺毛；第二颖脊上粗糙或具刺毛；第一外稃边缘具丝状毛；第二外稃较短，具1脉，顶端齿间有一小突起；鳞被2，顶端截平，具多脉；雄蕊3，柱头2，帚状，花期自小穗两侧伸出。小穗和雄蕊由小花梗连接，有柄小穗背部扁平，等长或稍短于无柄小穗。"	"李振宇，解焱，2002. 中国外来入侵种. p.186"	"Vetiveria zizanioides L."	"PL00188"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/香根草.jpg"
"189"			"野塘蒿、蓑衣草、野地黄菊"	"生长于荒地、田边及路旁，常于桑、茶及果园中危害，发生量大，危害重，是区域性的恶性杂草，也是路埂、宅旁及荒地发生数量大的杂草之一。"	"香丝草"	"一年生或二年生草本。 生长于荒地、田边及路旁，常于桑、茶及果园中危害。 苗期于秋、冬季或翌年春季；花果期5—10月。以种子繁殖。"	"双子叶植物纲"	"菊目"	"菊科"	"白酒草属"	"Linifolius Conyza ，Flax-leaf Fleabance"		"陕西、河北、甘肃、长江流域及其以南地区（安徽、江苏、浙江、江南、湖北、云南、台湾等省区）。"	"被子植物门"	"南美洲"	"成株：茎高30—80cm，被疏长毛及贴生的短毛，灰绿色。下部叶有柄，披针形，边缘具稀疏锯齿；上部叶无柄，线形或线状披针形，全缘或偶有齿裂。头状花序直径约0.8—1cm。再集成圆锥状花序；总苞片2—3层，线状披针形，具软毛和长睫毛；外围花白色，雌性，细管状；中央花两性，管状，微黄色，顶端5齿裂。子实：瘦果长圆形，略有毛；冠毛污白色，刚毛状。幼苗：子叶出上，卵形，先端钝圆，全缘，基部宽楔形，具柄，无毛。下胚轴不发达，上胚轴不发育。初生叶1片，卵圆形，先端急尖，有睫毛，基部同形，腹面密布短柔毛，具柄。第一片后生叶呈宽卵形，第二片后生叶呈宽椭圆形，边缘均具疏微波和尖齿。"	"李扬汉，1998. 中国杂草志. pp.294-295； 中国植物志编辑委员会，1985a. 中国植物志. 74卷. p.350"	"Conyza bonariensis(L.) Cronq"	"PL00189"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/香丝草.jpg"
"190"			"飞机草、五色花、五雷丹"	"根部会分泌一种物质，使旁边其他植物无法生长，到最后整片山林就只剩下香泽兰，森林生态因此受到极大的危胁。"	"香泽兰"	"多年生草本。生长区域分布于海拔８００公尺以下地区，主要分布中南部山坡、荒废地。开花期９～１２月，结果期１０～１月。"	"双子叶植物纲"	"菊目"	"菊科"	"飞机草属"	"Triffid Weed"		"广东、香港、澳门、海南、广西、云南、台湾"	"被子植物门"	"热带美洲"	"茎干：   茎攀援性，多分岐，密被卷毛。 叶的形态：   叶对生，卵形至三角形，长７～１５公分，宽３．５～８公分，３出脉，叶尖锐尖形或渐尖形，叶基钝形至截形，粗锯齿缘，具叶柄，背面具腺体。 花的形态：   茎顶或叶腋萌发淡紫色花，总苞圆柱形，苞片卵形或长椭圆形，花冠筒状，５裂，伞房状头状花序，白紫色，不具舌状花，雌蕊花柱极长。 果实：   瘦果黑色，具５棱，被有黄褐色短冠毛。"		"Chromolaena odorata (L.) R. M. King & H. Rob."	"PL00190"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/香泽兰.jpg"
"191"	"我国于20世纪30年代从印度，缅甸等引入广东，四川。"		"紫狼尾草"	"一般性杂草。柔软多汁，适口性很好，利用率高，牛、马、羊、兔、鸭、鹅等喜食，幼嫩期也是养猪、鱼的好饲料。"	"象草"	"多年生草本植物。为优良饲料，我国引种栽培普遍，变异也较大，可逸生为杂草。一般采用无性繁殖。"	"单子叶植物纲"	"禾本目"	"禾本科"	"狼尾草属"	"Elephantgrass"		"江西、四川、广东、广西、云南等地有引种"	"被子植物门"	"非洲"	"植株高大，株高2~3m，高的 可达5m，根系发达，具有强大伸展的须根，多分布于40cm的土层中，深者可达4m。在温暖潮湿季节，中下部的茎节能长出气生根。茎丛生，直立，有节，直径1~2cm圆形。分蘖多，通常达50~100个，叶互生，长40~100cm，宽1~3cm叶面具茸毛。圆锥花序呈黄褐色或黄色，长约15~30cm，每穗有小穗250多个，每小穗有花3朵，种子成熟时易脱落，种子发芽率很低，实生苗生长极慢。"	"中国植物志编辑委员会，1990b. 中国植物志. 第10卷第1分册. p.373,361,367"	"Pennisetum purpureum Schum."	"PL00191"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/象草.jpg"
"192"			"无瓣繁缕"	"一般性杂草。为蔬菜地危害较为严重的杂草，主要于早春发生危害，且发生量大。"	"小繁缕"	"二年生草本。常生长于路边、宅旁、荒地和农田。苗期10~11月，花期3~4月，果期4~5月。种子随果实成熟散落于土壤中。种子繁殖。"	"双子叶植物纲"	"石竹目"	"石竹科"	"繁缕属"	"Little starwort"		"安徽，江苏，浙江，江西等省"	"被子植物门"	"地中海地区"	"全株鲜绿。茎下部平卧，多分枝，疏被1行短柔毛，逐渐至茎上部光滑无毛。叶倒卵形至倒披针形，长0.5~1厘米，宽约0.5厘米，基部下延至柄，下部叶具柄，柄长0.5厘米左右，中上部叶无柄或由叶基下延渐狭成柄，叶柄两侧具少数较长的柔毛，叶顶端突尖。二歧聚伞状花序；花梗光滑无毛，长约1厘米；花萼5片，光滑无毛，具极狭膜质边缘，果时宿存；无花瓣；雄蕊3~5枚，多为3枚；子房卵形，1室，特立中央胎座，具胚珠多数，花柱3，短小。子实 硕果长卵形，6瓣裂；种子细小，径约0.5毫米，红褐色，圆肾形，表面具疣状突起。幼苗 子叶出土萌发。子叶椭圆状披针形，叶基楔形，具短柄，长5毫米，宽约2毫米，先端尖锐。上、下胚轴明显。初生叶2片，倒卵圆形，具短柄，柄上疏生长柔毛 。"	"李扬汉，1998. 中国杂草志. p.181"	"Stellaria apetala Ucria"	"PL00192"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/小繁缕.jpg"
"193"			"马包"	"一般性杂草。"	"小马泡"	"一年生匍匐草本。生于山坡，田边，路旁。花期5~7月，果期7~9月。"	"双子叶植物纲"	"葫芦目"	"葫芦科"	"黄瓜属"	"Bisexual Cucumis"		"山东，安徽，江苏"	"被子植物门"	"非洲"	"根白色，柱状。茎、枝及叶柄粗糙；卷须纤细，单一。叶片肾形或近圆形，质稍硬，长、宽均为6~11厘米，常5浅裂，裂片钝圆，边缘稍反卷，两面粗糙，有腺点，掌状脉，脉上有腺质短柔毛。花两性，在叶腋内单生或双生；花梗细，长2~4厘米；花梗和花萼被白色短柔毛；花萼筒杯状，裂片条形；花冠黄色，钟形，裂片倒阔卵形，先端钝，有5脉；雄垒3，生于花被筒的口部，花丝极短或无，药室2回折曲；子房纺锤形，密被白色细绵毛，花柱极短，基部有1浅杯状的盘，柱头3，靠合，2裂。果实椭圆形，长约3~3.5厘米，径约2~3厘米；幼时有柔毛，后脱落而光滑；种子多数，卵形，扁压，黄白色。"	"中国植物志编辑委员会，1986. 中国植物志. 73卷第1分册. P.203； 陈汉斌，郑亦津，李法曾主编.山东植物志（下）,青岛出版社，1997：1248，图1063"	"Cucumis bisexualis A.M. Lu et G.C. Wang ex Lu et Zhang"	"PL00193"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/小马泡.jpg"
"194"					"小苜蓿"	"生于海拔300-1200米间山谷、低山或平川，耐干旱，喜生宅旁、路边及田间。花期3-4月，果期5-6月。"	"双子叶植物纲"	"蔷薇目"	"豆科"	"苜蓿属"	"Small bur clover"		"河南、湖北、江苏、山西、陕西、四川"	"被子植物门"	"欧亚"	"一年生或越年生草本，高20-40厘米。茎多分枝，疏被白色柔毛。小叶倒卵形至倒心形，上部小叶多狭倒卵形至长圆形，长5-10毫米，宽4-8毫米，先端圆或截形而微凹，具小突齿，基部楔形，两面被密毛或上面近无毛；小叶柄很短，被柔毛；托叶斜卵形，长约5毫米，先端尖。花1-8朵集生成头形总状花序，总花梗长1-2厘米；萼长约3毫米，密被柔毛，萼齿披针形，与萼筒等长；旗瓣长约4毫米，较翼瓣和龙骨瓣长。荚果四至五回旋卷成球状，具三列钩状刺，有种子数粒。种子肾形，淡黄色，长2-2.5毫米，平滑。"		"Medicago minima"	"PL00194"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/小苜蓿.jpg"
"195"	"1860年在山东烟台被发现，1886年分别在浙江宁波和湖北宜昌采到，1887年到达四川南溪。"	"苗期使用绿麦隆，早春使用2，4－滴丁酯防除。"	"小白酒、加拿大蓬飞草、小飞蓬、飞蓬"	"生长于于燥、向阳的土地上，在牧场、草原、河滩及路边常形成大片草丛。对秋收作物（甘薯和大豆）、果园及茶园危害重，发生量也大，也是路埂的常见杂草，并为棉铃虫和棉蜡象的中间寄主。通过分泌化感物质抑制邻近其他植物的生长。该种能产生大量瘦果，借冠毛随风扩散，蔓延极快，对秋收作物、果园和茶园危害严重，为一种常见的杂草，通过分泌化感物质抑制邻近其他植物的生长。该植物还是棉铃虫和棉蝽象的中间寄主，其叶汁和捣碎的叶有刺激皮肤的作用。"	"小蓬草"	"1—2年生草本。 多生于干燥、向阳的土地上，多生于路边、田野、牧场、草原、河滩，常形成大片草丛。花果期7—10月。种子繁殖，以幼苗或种子越冬。"	"双子叶植物纲"	"菊目"	"菊科"	"白酒草属"	"Canadian Fleabane　，Horse-weed"	"借冠毛随风扩散，蔓延极快。"	"黑龙江、吉林、辽宁、内蒙古、河北、山西、陕西、河南、山东、江苏、浙江、江西、湖北、四川、贵州、云南和台湾等省区"	"被子植物门"	"北美"	"成株：株高40—120cm。茎直立，有细条纹及脱落性疏长毛，上部多分枝。基生叶近匙形；上部叶线形或线状披针形，全缘或有齿裂，边缘有睫毛。头状花序直径4—5mm，有短校，再密集成圆锥状或伞房状圆锥花序，头状花序外围花雌性，细筒状，长约3mm，先端有舌片，白色或紫色；管状花位于花序内方，长约2.5mm，檐部4齿裂，稀少为3齿裂。子实：瘦果长圆形，长1.2一1.5mm，稍扁平，淡褐色，被微毛；冠毛刚毛状，长2.5—3mm，朽白色。幼苗：主根发达。下胚轴不发达。子叶对生，阔椭圆形或卵圆形．长3—4mm，宽1.5—2mm，基部逐渐狭窄成叶柄；初生叶1片，椭圆形，长5一7mm，宽4—5mm，先端有小尖头，二面疏生伏毛，边缘有纤毛，基部有细柄；第二及第三叶和初生叶相似，但毛更密，两侧边缘有单个的小齿。"	"李扬汉，1998.中国杂草志.p.295－296. 李振宇，解焱，2002.中国外来入侵种.p.159."	"Conyza Canadensis(L.)Cronq."	"PL00195"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/小蓬草.jpg"
"196"			"蒿子杆"	"一般性杂草。观赏植物，可作为路边花坛，插花。"	"小茼蒿"	"易生长于树荫或有部分光照的地方，潮湿的环境，排水良好，土质不需太肥沃。 种子萌发需要5~10天，花期7~8月。 易生长于树荫或有部分光照的地方，潮湿的环境，排水良好，土质不需太肥沃。"	"双子叶植物纲"	"菊目"	"菊科"	"茼蒿属"	"Painted Daisy Tricolor ChrysanthemumIsmelia carinata"		"黑龙江，吉林，辽宁，内蒙，河北，安徽"	"被子植物门"	"地中海（摩洛哥）"	"成株 茎直立、高50-90厘米，分枝较少；叶羽状分裂；花大，单生于长茎上，花色有白色、黄色、红色等，中间有不同颜色的环带，花盘紫色。"	"中国植物志编辑委员会，1983年. 中国植物志. 76卷第1分册. p.22"	"Chrysanthemum carinatum Schousb."	"PL00196"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/小茼蒿.jpg"
"197"	"1928年在台湾台北采到标本。"		"透明草，小叶冷水麻，礼花草"	"一般性杂草。该种常随带土苗木传播，成为一种常见的园圃杂草。逃逸后在一些低海拔山地、沟谷归化，排挤本土的石生和附生草本植物，对当地的生物多样性产生不良影响。"	"小叶冷水花"	"纤细小草本，耐阴湿，常生于路边、溪边和石缝等潮湿环境中。果实小而易于传播。花果期通常在夏秋两季。"	"双子叶植物纲"	"荨麻目"	"荨麻科"	"冷水花属"	"Artillery Clearweed"	"随带土苗木传播。"	"广东，广西，福建，江西，浙江，香港，澳门，海南，台湾"	"被子植物门"	"南美洲热带地区"	"铺散或直立。茎肉质，多分枝，高3~17cm，粗1~1.5mm。叶小，同对叶不等大，倒卵形至匙形，长3~7mm，宽1.5~3mm，先端钝，基部楔形或渐狭，边缘全缘，上面绿色，下面浅绿色，钟乳体条形，上面明显，横向排列，整齐，叶脉羽状，中脉稍明显，在近先端消失，侧脉不明显；叶柄长1~4mm；托叶不明显，三角形，长约0.5mm。雌雄同株，有时同序，聚伞花序密集成近头状，长1.5~6mm。雄花具梗，花被片4，卵形，外面近先端有短角状突起；雄蕊4；退化雌蕊不明显。雌花较小；花被片3，稍不等长，在果期中间的一枚长圆形，与果近等长，侧生二枚卵形，先端急尖，薄膜质；退化雄蕊不明显。瘦果卵形，长约0.4mm，熟时变褐色，光滑。"	"中国植物志编辑委员会，1995. 中国植物志. 23卷第2分册. p.148； 李振宇，解焱，2002. 中国外来入侵种. p.100"	"Pilea microphylla (L.) Liebm"	"PL00197"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/小叶冷水花.jpg"
"198"					"小子虉草"		"单子叶植物纲"	"禾本目"	"禾本科"	"虉草属"	"Reed Canarygrass"		"云南"	"被子植物门"	"亚洲泛热带地区"			"Phalaris minor"	"PL00198"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/小子虉草.jpg"
"199"				"常危害旱田作物，对甘蔗、花生、大豆危害较大，并对果园及橡胶园都能危害，在荒地及路边也常见到。本种发生量小，危害轻，是一般性杂草。"	"熊耳草"	"一年生草本。在亚热带南部地区，花果期全年；在该区北部，通常于3—4月间出苗，以夏秋生长最盛，至秋末冬初逐渐死亡．以种子繁殖。"	"双子叶植物纲"	"菊目"	"菊科"	"霍香蓟属"	"Mexican Ageratum"		"黑龙江、山东、浙江、安徽、江苏、福建、广东、广西、云南、四川、贵州、海南和台湾等省区"	"被子植物门"	"墨西哥、危地马拉及洪都拉斯等地。"	"成株：茎直立，高70—100cm，被白色长柔毛。叶对生，有时上部叶近互生，卵圆形或三角形，中部茎生叶长2—6cm，宽1.5—3.5cm，边缘有规则的圆锯齿，顶端圆或急尖，基部心形或平截，两面被稀疏或稠密的长柔毛。头状花序5—15个或更多，在茎顶排列成直径2—4cm的伞房或复伞房花序；总苞钟形，径6—7mm，总苞片两层，线状披针形，外被较密或稀疏的腺毛。花序全由管状花组成，花冠长2.5—3.5mm，檐部淡紫色，5裂，裂片外被柔毛，花药基部钝，先端有附片；雌蕊花桂分枝棍棒状，与柱头无显著的区别。子实：瘦果略呈楔形，黑色，长1.5—1.7mm，有5纵棱，有时在棱上及棱间有稀疏的短糙毛；果脐圆，偏斜或稍偏斜。冠毛膜片状，5个，分离，长圆形或披针形，长2—3mm，顶端芒状长渐尖，有时膜片顶端截形，长仅0.1——0.15mm。"	"李扬汉，1998.中国杂草志.p.238－239. 李振宇，解焱，2002.中国外来入侵种.p.155."	"Ageratum houstonianum Miller-Ageratum mexicanum Sims"	"PL00199"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/熊耳草.jpg"
"200"			"石白头，花叶滇苦菜"	"一般性杂草。为果、桑、茶园和路埂常见杂草，发生量小，危害一般 。"	"续断菊"	"一二年生草本。生于路边和荒野处。花果期5—10月。"	"双子叶植物纲"	"菊目"	"菊科"	"苦苣菜属"	"Prickly Sowthistle"	"自然扩散。"	"新疆，西藏，山东，江苏，安徽，浙江，江西，湖北，四川，云南等长江流域各省区"	"被子植物门"	"欧洲"	"有纺锤状根。茎中空，直立高50-100厘米，下部无毛，中上部及顶端有稀疏腺毛。茎生叶片卵状狭长椭圆形，不分裂，缺刻状半裂或羽状分裂，裂片边缘密生长刺状尖齿，刺较长而硬，基不有扩大的圆耳。头状花序直径约2厘米，花序梗常有腺毛或初期有蛛丝状毛；总苞钟形或圆筒形，长1.2-1.5厘米；舌状花黄色，长约1.3厘米，舌片长约0.5厘米。瘦果较扁平，短宽而光滑，两面除有明显的3纵肋外，无横纹，有较宽的边缘。"	"李扬汉，1998. 中国杂草志. pp.374-375； 中国植物志编辑委员会，1997a. 中国植物志. 80卷第1分册. p.61； 江苏植物研究所，1982. 江苏植物志 p.904"	"Sonchus asper (L.) Hill."	"PL00200"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/续断菊.jpg"
